"","C001F","C002F","C003F","C004F","C005F","C006F","C007F","C008F","C009F","C010F","C011F","C012F","C013F","C014F","C015F"
"D300038:bin_000002",1.00356472186545,0.994305162077072,0.744926716403377,0.983523362189281,0.42826507286629,0.428482999411135,0.320795292786631,0.988100746978008,8.16065359416513e-05,0.77019599478831,0.855715935067163,0.929367224775002,1.00256040506517,0.368268504050188,0.814642345446031
"D300038:bin_000004",0.999650804275648,0.723322660995815,0.541632778786434,0.75623235880379,0.755271848427138,0.682266840030447,0.840533064007369,0.748895694437451,0.743079616032793,0.541706527501755,0.887746458432677,0.804805513679054,0.736092147390806,0.764006480409202,0.591467954850385
"D300038:bin_000006",0.999580100045117,0.0862425314028945,0.0150159034911782,0.111430555223696,0.0579816832260685,0.0613078530778842,0.151068759583909,0.922371918215436,0.34706821986313,0.108112115747619,0.0834620558020687,0.136380694300183,0.978007783785607,0.330744828730012,0.0582993313927748
"D300038:bin_000008",0.999826434018932,0.0165543553463521,0.628237665417578,0.0339601438118129,0.0449327931725382,0.0284220292822607,0.0525465008858264,0.0355486324680363,0.0905214577942723,0.0319641350295342,0.0275953913033046,0.0424572783734388,0.0394494679042908,0.0348723650164568,0.18175917520166
"D300038:bin_000012",0.999920187796979,0.989984892419959,0.992790045489173,0.9442245090793,0.944908019272945,0.0223239649189433,0.878885549300868,0.994292103584892,0.0123708914682646,0.15064761361513,0.130357157717235,0.932922571571877,0.998025877310109,0.991939724008645,0.0233123501629909
"D300038:bin_000014",0.999487280574273,0.693313064749188,0.168393341714679,0.708967289539935,0.228619513339193,0.924824592795114,0.430911230599372,0.425492340560714,0.945530489657445,0.644115903690506,0.586877708449027,0.976752331227835,0.79534284474059,0.748124503519576,0.78125795711102
"D300038:bin_000017",0.999238639920022,0.996290713699022,0.891683922633814,0.152892105650275,0.939468331462924,0.00334298333967453,0.890062854921107,0.314735088781586,0.000261287777857882,0.274854739414407,0.938749894255544,0.982952951947636,0.979589965715876,0.988229548188842,0.000375054226590261
"D300038:bin_000022",0.999995231598291,0.0108570546417112,0.0213898579671946,0.00282945036421648,0.0225873228464259,0.00244082562491395,0.0192977217172683,0.0309344100384393,0.00358643413555732,0.00806694359159593,0.267383357443564,0.0122029360241424,0.00235261019329312,0.00346543594218551,0.00100494066022098
"D300038:bin_000025",0.999557333134664,0.823719855525687,0.214806989651939,0.845802928617436,0.840758551625842,0.420090493548239,0.95952780754407,0.93925916228189,0.705430517034175,0.784468251852854,0.353707461576769,0.805284805857669,0.0215644584799095,0.410124340927264,0.832536665582904
"D300038:bin_000030",0.999913020251899,0.960671456260145,0.0730712069638589,0.910313606509099,0.529491613645547,0.873949907883653,0.903366869619412,0.97954948599763,0.673745813671573,0.710481402086144,0.951020128620446,0.974342344069967,0.87974810117046,0.949796248227873,0.332550972187027
"D300038:bin_000034",0.999829845340049,0.0604049042826864,0.545812015258619,0.971965690439754,0.974036525824692,0.968899184427445,0.919066733594166,0.940856633000858,0.959061320549047,0.167198754467889,0.149528193031954,0.979574528272792,0.918093129899258,0.989089630030596,0.970773810220127
"D300038:bin_000037",0.999861246783132,0.010468115186639,0.00996637719326494,0.955560008380853,0.918724806252403,0.88567887893762,0.0746353155959808,0.96021996956971,0.94161749674089,0.715266074202358,0.884908778705317,0.136586042698619,0.931685310884733,0.978895198383306,0.832959415280427
"D300040:bin_000005",0.0716629663642319,0.999953722511836,0.00900817859772383,0.277913765314719,0.225977526589641,0.0180152192244272,0.032291444999395,0.036183685212939,0.148995304352246,0.0271982660356238,0.730342593762174,0.0122779486630927,0.0232817491069772,0.031006296393656,0.0257295247719222
