"","sample","animal","code","type","diet","dev_stage","tag","treatment","layer","seq_id"
"1","C001F",1,"F","digesta","AcGGM","pre-weaning","none","TC1","metaG","D300038"
"2","C001F",1,"F","digesta","AcGGM","pre-weaning","none","TC1","metaT","D300134"
"3","C001H",1,"H","tissue","AcGGM","pre-weaning","none","TC1","hostT","D300170"
"4","C001I",1,"I","digesta","AcGGM","pre-weaning","none","TC1","metaB",NA
"5","C001K",1,"K","tissue","AcGGM","pre-weaning","none","TC1","metaB",NA
"6","C002F",2,"F","digesta","AcGGM","pre-weaning","none","TC1","metaG","D300040"
"7","C002F",2,"F","digesta","AcGGM","pre-weaning","none","TC1","metaT","D300135"
"8","C002H",2,"H","tissue","AcGGM","pre-weaning","none","TC1","hostT","D300171"
"9","C002I",2,"I","digesta","AcGGM","pre-weaning","none","TC1","metaB",NA
"10","C002K",2,"K","tissue","AcGGM","pre-weaning","none","TC1","metaB",NA
"11","C003F",3,"F","digesta","AcGGM","pre-weaning","none","TC1","metaG","D300042"
"12","C003F",3,"F","digesta","AcGGM","pre-weaning","none","TC1","metaT","D300136"
"13","C003H",3,"H","tissue","AcGGM","pre-weaning","none","TC1","hostT","D300172"
"14","C003I",3,"I","digesta","AcGGM","pre-weaning","none","TC1","metaB",NA
"15","C003K",3,"K","tissue","AcGGM","pre-weaning","none","TC1","metaB",NA
"16","C004F",4,"F","digesta","AcGGM","post-weaning","none","TC2","metaG","D300044"
"17","C004F",4,"F","digesta","AcGGM","post-weaning","none","TC2","metaT","D300137"
"18","C004H",4,"H","tissue","AcGGM","post-weaning","none","TC2","hostT","D300173"
"19","C004I",4,"I","digesta","AcGGM","post-weaning","none","TC2","metaB",NA
"20","C004K",4,"K","tissue","AcGGM","post-weaning","none","TC2","metaB",NA
"21","C005F",5,"F","digesta","AcGGM","post-weaning","none","TC2","metaG","D300046"
"22","C005F",5,"F","digesta","AcGGM","post-weaning","none","TC2","metaT","D300138"
"23","C005H",5,"H","tissue","AcGGM","post-weaning","none","TC2","hostT","D300174"
"24","C005I",5,"I","digesta","AcGGM","post-weaning","none","TC2","metaB",NA
"25","C005K",5,"K","tissue","AcGGM","post-weaning","none","TC2","metaB",NA
"26","C006F",6,"F","digesta","AcGGM","post-weaning","none","TC2","metaG","D300048"
"27","C006F",6,"F","digesta","AcGGM","post-weaning","none","TC2","metaT","D300139"
"28","C006H",6,"H","tissue","AcGGM","post-weaning","none","TC2","hostT","D300175"
"29","C006I",6,"I","digesta","AcGGM","post-weaning","none","TC2","metaB",NA
"30","C006K",6,"K","tissue","AcGGM","post-weaning","none","TC2","metaB",NA
"31","C007F",7,"F","digesta","control","control","none","TC3","metaG","D300050"
"32","C007F",7,"F","digesta","control","control","none","TC3","metaT","D300140"
"33","C007H",7,"H","tissue","control","control","none","TC3","hostT","D300176"
