"","sample","animal","code","type","diet","dev_stage","treatment","layer"
"1","C001F",1,"F","digesta","AcGGM","pre-weaning","TC1","metaG"
"2","C001F",1,"F","digesta","AcGGM","pre-weaning","TC1","metaT"
"3","C001H",1,"H","tissue","AcGGM","pre-weaning","TC1","hostT"
"4","C001I",1,"I","digesta","AcGGM","pre-weaning","TC1","metaB"
"5","C001K",1,"K","tissue","AcGGM","pre-weaning","TC1","metaB"
"6","C002F",2,"F","digesta","AcGGM","pre-weaning","TC1","metaG"
"7","C002F",2,"F","digesta","AcGGM","pre-weaning","TC1","metaT"
"8","C002H",2,"H","tissue","AcGGM","pre-weaning","TC1","hostT"
"9","C002I",2,"I","digesta","AcGGM","pre-weaning","TC1","metaB"
"10","C002K",2,"K","tissue","AcGGM","pre-weaning","TC1","metaB"
"11","C004F",4,"F","digesta","AcGGM","post-weaning","TC2","metaG"
"12","C004F",4,"F","digesta","AcGGM","post-weaning","TC2","metaT"
"13","C004H",4,"H","tissue","AcGGM","post-weaning","TC2","hostT"
"14","C004I",4,"I","digesta","AcGGM","post-weaning","TC2","metaB"
"15","C004K",4,"K","tissue","AcGGM","post-weaning","TC2","metaB"
"16","C005F",5,"F","digesta","AcGGM","post-weaning","TC2","metaG"
"17","C005F",5,"F","digesta","AcGGM","post-weaning","TC2","metaT"
"18","C005H",5,"H","tissue","AcGGM","post-weaning","TC2","hostT"
"19","C005K",5,"K","tissue","AcGGM","post-weaning","TC2","metaB"
"20","C006F",6,"F","digesta","AcGGM","post-weaning","TC2","metaG"
"21","C006F",6,"F","digesta","AcGGM","post-weaning","TC2","metaT"
"22","C006H",6,"H","tissue","AcGGM","post-weaning","TC2","hostT"
"23","C006I",6,"I","digesta","AcGGM","post-weaning","TC2","metaB"
"24","C006K",6,"K","tissue","AcGGM","post-weaning","TC2","metaB"
"25","C007F",7,"F","digesta","control","control","TC3","metaG"
"26","C007F",7,"F","digesta","control","control","TC3","metaT"
"27","C007H",7,"H","tissue","control","control","TC3","hostT"
"28","C007I",7,"I","digesta","control","control","TC3","metaB"
"29","C007K",7,"K","tissue","control","control","TC3","metaB"
"30","C008F",8,"F","digesta","control","control","TC3","metaG"
"31","C008F",8,"F","digesta","control","control","TC3","metaT"
"32","C008H",8,"H","tissue","control","control","TC3","hostT"
"33","C008I",8,"I","digesta","control","control","TC3","metaB"
"34","C008K",8,"K","tissue","control","control","TC3","metaB"
"35","C009F",9,"F","digesta","control","control","TC3","metaG"
"36","C009F",9,"F","digesta","control","control","TC3","metaT"
"37","C009H",9,"H","tissue","control","control","TC3","hostT"
"38","C009I",9,"I","digesta","control","control","TC3","metaB"
"39","C009K",9,"K","tissue","control","control","TC3","metaB"
"40","C013F",13,"F","digesta","control","control","TC3","metaG"
"41","C014F",14,"F","digesta","control","control","TC3","metaG"
"42","C015F",15,"F","digesta","control","control","TC3","metaG"
