"","animal","treatment","pen","date","weight_kg","gain_past_day","milk_ml","feed_g","acggm_g","score_appetite_1_2","score_clinical_1_3","score_dehydration_1_2","score_faeces_1_5","note","day"
"1",1,"T1",0,2022-03-23,4.9,NA,592.815520149255,0,0,NA,NA,NA,NA,NA,1
"2",1,"T1",0,2022-03-24,4.9,0,592.815520149255,0,0,1,1,1,1,NA,2
"3",1,"T1",0,2022-03-25,4.9,0,592.815520149255,0,0,1,1,1,1,NA,3
"4",1,"T1",0,2022-03-26,5.1,0.199999999999999,610.871884605066,0,0,1,1,1,1,NA,4
"5",1,"T1",0,2022-03-27,5.1,0,610.871884605066,0,0,1,1,1,1,NA,5
"6",1,"T1",0,2022-03-28,5.1,0,651.596676912071,0,0,1,1,1,1,NA,6
"7",1,"T1",0,2022-03-29,5.1,0,712.683865372577,0,0,1,1,1,NA,"faeces_none_collected",7
"8",1,"T1",0,2022-03-30,5.2,0.100000000000001,723.139030178477,0,0,1,1,1,NA,"faeces_none_collected",8
"9",1,"T1",0,2022-03-31,5.2,0,764.46126047439,0,0,1,1,1,NA,"faeces_none_collected",9
"10",1,"T1",0,2022-04-01,5.3,0.0999999999999996,838.336053641237,0,0,1,1,1,1,NA,10
"11",1,"T1",0,2022-04-02,5.4,0.100000000000001,850.171537986666,0,0,1,1,1,NA,NA,11
"12",1,"T1",0,2022-04-03,5.4,0,892.680114885999,0,0,1,1,1,NA,NA,12
"13",1,"T1",0,2022-04-04,5.5,0.0999999999999996,948.147586713586,0,0,1,1,1,NA,NA,13
"14",1,"T1",0,2022-04-05,5.6,0.0999999999999996,1004.73169431872,0,0,1,1,1,1,NA,14
"15",1,"T1",0,2022-04-06,5.7,0.100000000000001,1018.15810740903,0,41,1,1,1,1,NA,15
"16",1,"T1",0,2022-04-07,5.8,0.0999999999999996,1031.52575828989,0,41,1,1,1,1,"appetite_hesitant_to_acggm",16
"17",1,"T1",0,2022-04-08,5.9,0.100000000000001,1090.263559084,0,44,1,1,1,NA,"appetite_hesitant_to_acggm",17
"18",1,"T1",0,2022-04-09,6.1,0.199999999999999,1117.86630056745,20,45,1,1,1,1,"appetite_hesitant_to_acggm",18
"19",1,"T1",0,2022-04-10,6.3,0.2,1192.96215578469,20,48,1,1,1,NA,NA,19
