"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC100125545",246,219,246,75,217,173,148,371
"TBP",59,1,0,0,0,57,43,112
"PSMB1",3281,2960,1644,2243,2302,2895,4055,5024
"FAM120B",220,197,275,157,52,184,312,374
"DLL1",23,70,44,32,37,80,101,97
"LOC110259814",2,2,0,0,0,0,0,31
"LOC106508781",0,0,0,0,0,1,0,0
"LOC110259815",34,0,0,0,0,2,18,7
"LOC110259816",15,14,87,67,0,13,10,57
"ERMARD",199,329,211,292,318,188,345,432
"PHF10",218,150,88,150,68,109,254,141
"C1H6orf120",465,527,278,283,252,442,770,704
"WDR27",0,46,0,22,59,6,16,36
"THBS2",201,339,407,265,278,212,252,512
"LOC110259818",0,3,0,0,0,0,0,0
"MIR9815",0,1,8,0,6,0,0,21
"SMOC2",74,101,81,158,89,87,167,329
"LOC110259819",0,0,0,0,0,0,5,0
"DACT2",0,4,69,0,0,1,22,34
"FRMD1",467,1761,976,278,362,841,3874,2681
"KIF25",23,14,16,0,21,20,5,52
"AFDN",1855,2101,1421,1263,692,2479,4161,3919
"MIR9824",0,0,0,0,0,1,0,0
"LOC102166504",0,0,0,0,0,16,7,0
"LOC106506295",0,0,0,0,7,0,0,0
"LOC106506286",14,0,0,0,14,5,0,0
"UNC93A",176,94,229,108,87,395,167,220
"TCP10L2",0,19,6,1,61,3,0,3
"GPR31",16,52,34,0,55,25,21,72
"CCR6",0,37,42,0,24,20,27,35
"FGFR1OP",223,122,142,130,92,114,199,204
"LOC102157461",9,2,6,0,4,0,0,0
"RNASET2",1197,1273,1436,913,942,994,1927,2268
"RPS6KA2",37,34,32,133,7,35,42,118
"MPC1",3139,3206,1925,2599,1732,2242,4152,5152
"SFT2D1",1397,1751,2083,1500,2062,2475,2949,3884
"PRR18",0,14,0,0,0,5,0,0
"LOC102157949",0,19,0,0,66,9,0,52
"LOC110259852",23,33,0,0,119,2,0,0
"LOC110256592",0,0,32,0,0,0,1,8
"MIR9831",0,0,0,0,0,0,0,0
"PDE10A",6,0,15,0,14,16,3,12
"C1H6orf118",0,0,0,0,0,0,0,0
"LOC106508791",0,0,0,0,0,0,0,20
"LOC102165158",0,0,0,5,27,0,0,0
"LOC102165231",0,0,0,0,12,1,0,0
"LOC110259867",5,3,0,0,0,0,0,0
"QKI",883,1229,836,874,1270,949,906,1297
"LOC106506356",2,23,0,18,76,0,0,10
"LOC110259875",23,2,0,15,38,8,0,5
"LOC110259878",12,0,0,0,0,2,4,0
"PACRG",0,0,0,0,0,0,0,8
"PRKN",11,5,0,0,43,3,29,0
"LOC110256593",0,0,13,0,0,0,0,0
"AGPAT4",920,461,278,279,700,781,2207,2380
"MAP3K4",125,110,104,54,171,77,105,206
"PLG",0,4,0,0,0,7,0,0
"SLC22A3",47,21,20,18,44,74,64,72
"LOC106508794",1,8,0,0,11,3,0,0
"SLC22A2",0,0,0,0,11,4,0,0
"LOC102165795",0,0,0,0,4,0,0,0
"SLC22A1",0,0,0,0,45,0,0,0
"IGF2R",847,358,376,320,165,790,1277,847
"LOC102166961",25,5,19,73,92,31,10,92
"PNLDC1",0,0,0,0,27,1,0,0
"MRPL18",324,500,155,317,179,315,566,596
"TCP1",878,578,219,390,712,592,760,1289
"ACAT2",562,180,318,375,168,210,548,393
"WTAP",2685,3142,2742,3384,2232,4458,4112,4658
"LOC102157641",12,37,8,16,20,18,53,26
"SOD2",3169,3353,1183,9010,1586,13557,6811,6388
"FNDC1",279,432,370,368,345,313,406,359
"LOC110259896",0,0,0,0,0,0,16,0
"LOC102158235",0,27,0,0,0,6,0,0
"LOC106508800",4,0,0,17,20,26,0,19
"TAGAP",18,43,20,129,69,36,42,103
"RSPH3",44,14,33,0,9,16,52,26
"LOC100521937",6,15,30,0,1,1,0,12
"EZR",9495,8062,9522,3213,5423,6969,21426,16965
"SYTL3",48,35,21,23,29,44,31,92
"LOC110259902",0,12,0,0,0,2,0,0
"DYNLT1",482,736,598,394,489,655,818,1218
"TMEM181",282,335,182,311,136,291,301,445
"TULP4",135,79,24,152,32,91,259,206
"GTF2H5",434,625,472,353,492,496,505,934
"SERAC1",38,80,43,149,81,51,61,100
"LOC110259904",0,0,0,0,0,2,0,0
"LOC110259908",9,6,0,0,14,0,0,8
"SYNJ2",587,433,266,412,455,767,696,911
"LOC110259909",0,0,29,0,0,1,0,0
"LOC106506437",0,3,40,0,0,2,0,0
"SNX9",1157,1415,1412,1506,934,1645,2202,2480
"LOC110259393",5,0,0,0,10,3,30,31
"LOC106506439",2,0,18,0,0,4,16,0
"LOC110259912",12,8,0,0,0,2,0,0
"ZDHHC14",41,70,75,90,64,77,75,86
"TMEM242",73,83,64,52,61,81,60,140
"LOC100153697",0,0,0,19,0,0,1,12
"LOC110259919",0,0,0,0,20,5,0,0
"ARID1B",289,371,195,248,514,375,447,552
"LOC110259923",0,11,0,0,22,4,0,0
"LOC102161179",0,0,0,0,0,1,0,9
"NOX3",0,0,0,0,46,3,0,72
"TFB1M",250,371,402,228,206,384,297,631
"CLDN20",0,0,0,0,0,0,0,0
"LOC106508808",15,13,0,0,7,1,8,0
"TIAM2",18,21,0,81,65,28,0,36
"SCAF8",170,228,123,241,149,281,250,344
"LOC110256595",0,7,0,0,0,2,0,0
"CNKSR3",349,231,244,178,290,299,405,324
"LOC110259934",0,0,0,0,0,1,0,0
"IPCEF1",31,23,12,10,43,23,71,115
"RGS17",0,9,3,0,12,8,23,15
"MTRF1L",176,151,62,115,83,162,181,143
"FBXO5",335,354,252,278,120,266,216,519
"VIP",243,553,500,151,1209,576,379,1587
"MYCT1",130,145,131,132,147,94,111,149
"SYNE1",162,168,120,117,188,108,193,142
"ESR1",0,14,0,0,11,10,9,5
"CCDC170",34,38,37,47,40,45,11,76
"ARMT1",176,267,236,146,119,188,272,236
"RMND1",183,208,151,153,85,136,151,281
