"","C001H","C002H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC100125545",8.59607491271177,8.48961741838667,8.7462454761346,7.78003551367459,8.72802519329355,8.27953088500257,7.93201841301582,8.48656754500376
"TBP",7.50182889744046,6.4413778906356,6.27684859056292,6.27684859056292,6.27684859056292,7.48530129307043,7.2027819561848,7.56949426554133
"PSMB1",11.7537957191651,11.6172064215488,11.0217863725773,11.5051344707297,11.6242102688074,11.5894908004769,11.6750938656698,11.6153228901637
"FAM120B",8.49039955121508,8.39261420814301,8.85943579010516,8.36447156224352,7.58146504617903,8.33346973175598,8.56616343999567,8.49406483569154
"DLL1",7.0553846832679,7.60657510890008,7.42306177192904,7.28321876342801,7.38757358478139,7.69315905975365,7.66610551256251,7.48486707413179
"LOC110259814",6.5089717119091,6.50940241437717,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.97311583124001
"LOC106508781",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.44154324124434,6.27684859056292,6.27684859056292
"LOC110259815",7.21816311320618,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.50963587665342,6.88181736799278,6.61018685156833
"LOC110259816",6.90818030482161,6.88820984987318,7.85192934774721,7.7038610245107,6.27684859056292,6.8668656727317,6.72922117079358,7.21362576776856
"ERMARD",8.39837811283105,8.89041718777125,8.59564930153192,8.9702944005035,9.12732141527756,8.3525347679037,8.66329628236274,8.63123442336087
"PHF10",8.48190914785888,8.15708241055918,7.86014862974676,8.32402149036476,7.75463080269601,7.9088294518546,8.37596351117041,7.71583153128252
"C1H6orf120",9.25967042369875,9.40566512826344,8.87062522741382,8.93734357459746,8.87993317987181,9.20955576544767,9.52901387763776,9.13584906997295
"WDR27",6.27684859056292,7.36720875322445,6.27684859056292,7.11641088859168,7.6606762482396,6.6791805244635,6.84767590638124,7.02602523709422
"THBS2",8.40742717329839,8.92159293589572,9.28187109856004,8.86896671258709,8.9827533797987,8.46138113323785,8.3688836832244,8.79995476986249
"LOC110259818",6.27684859056292,6.56151413749582,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292
"MIR9815",6.27684859056292,6.4413778906356,6.77605758892204,6.27684859056292,6.73335249910067,6.27684859056292,6.27684859056292,6.8516824886568
"SMOC2",7.6391429064529,7.85185574809662,7.80133511359233,8.37014790206632,7.94745844461983,7.74912867282555,8.02428627646668,8.37682610304341
"LOC110259819",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.59737671156266,6.27684859056292
"DACT2",6.27684859056292,6.60537525377815,7.69275463036697,6.27684859056292,6.27684859056292,6.44154324124434,6.94460118552893,7.00536068534237
"FRMD1",9.26447371650638,10.9142203665826,10.3380994677336,8.91868991481524,9.27068138089659,9.96550300275401,11.6123334949417,10.7682666080108
"KIF25",7.0553846832679,6.88820984987318,6.979401618132,6.27684859056292,7.12230649359363,7.00600008721853,6.59737671156266,7.17292449103604
"AFDN",10.9786161040315,11.1506977434399,10.8276294182366,10.7330759410092,10.0392680894704,11.3774981941351,11.7106181989244,11.2764001171702
"MIR9824",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.44154324124434,6.27684859056292,6.27684859056292
"LOC102166504",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.93038276856018,6.65579278788703,6.27684859056292
"LOC106506295",6.27684859056292,6.27684859056292,6.27684859056292,6.27684859056292,6.76959034932322,6.27684859056292,6.27684859056292,6.27684859056292
"LOC106506286",6.88709176730756,6.27684859056292,6.27684859056292,6.27684859056292,6.9703852510399,6.64432282952042,6.27684859056292,6.27684859056292
"UNC93A",8.28948382222305,7.80100734706304,8.67520603374255,8.04970870175559,7.93041508348012,9.08638185250826,8.02428627646668,8.03828037292387
