"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_55_05421a1_747",21431,13152,9512,5638,596732,302835,15470,16284,9518,11170,9213,17068,10776,20982,24631
"RP_pos_76_03914a3_588",652,185601,265,57651,NA,32603,58051,303,26879,950,65348,716,110558,NA,29854
"RP_pos_83_0493a1_747",16577,6938,8007,3465,433152,223339,10441,11097,5413,8357,7818,13925,7034,16683,17833
"RP_pos_86_09598a1_295",757016,7612338,540991,7980848,339909,7250471,8574726,612381,8447988,862590,8339492,899473,8263712,511866,8681898
"RP_pos_87_04367a2_047",29872,11979,19060,7242,29301,20122,15837,29346,15850,28041,26014,37803,18756,27819,14565
"RP_pos_87_04401a1_656",452465,190364,139785,54015,244718,127590,341796,434150,177720,219165,161731,345734,132588,285693,147950
"RP_pos_90_50712a11_294",318156,22808,218322,24846,193644,17019,23639,160129,27961,173435,36071,324032,40589,167641,36601
"RP_pos_100_07609a1_972",1092382,780625,172675,133675,109913,84727,101337,136525,90750,89532,79100,141874,86696,109879,81155
"RP_pos_100_11184a2_504",5040,375286,4241,360197,3139,420193,472401,2736,580073,14312,351561,7222,406245,4304,574475
"RP_pos_103_0755a4_824",183144,177362,96263,90104,71767,62065,71975,44687,37914,127636,122752,115844,106634,80954,74834
"RP_pos_105_03348a3_206",2667,454710,2034,473121,5057,619136,484636,1220,399792,6813,318416,258,412647,2365,328921
"RP_pos_105_06976a5_922",201037,219092,1209,2015,99035,90351,203946,169040,142532,173247,174719,221117,193683,329342,293204
"RP_pos_114_09134a2_966",159015,2818258,143391,1642559,113006,2934947,1928346,240924,846141,607929,1881068,260486,1503603,95715,5815500
"RP_pos_117_03687a3_973",70868,62420,34695,30336,59885,52993,42864,69748,56687,33275,27651,42321,35724,102665,77089
"RP_pos_118_08601a1_107",1103671,1055288,1115811,958486,256036,886334,1127776,382107,865244,1083806,991499,923755,910273,1097733,929980
"RP_pos_118_10083a15_397",651036,199980,14345,195304,15310,181385,206655,298362,227948,309111,214503,288441,19500,354109,224644
"RP_pos_119_07063a1_75",26542,16897,17204,8020,846913,503161,25054,22923,14856,14957,13027,23383,12922,39233,35202
"RP_pos_119_08566a5_087",30441,16333,11933,31044,60848,12275,225622,401055,174471,33323,17655,391402,179668,372806,203416
"RP_pos_120_08131a1_905",284714,2812033,204969,2765293,191762,2196800,3004744,195752,2738700,275786,2796478,295537,3021196,181680,2888768
"RP_pos_121_06476a4_261",219595,130015,150818,77151,326702,197561,181055,280086,142517,94610,61846,199035,101784,217867,136024
"RP_pos_122_05775a1_968",77209,60950,17421,17540,8196,9082,8005,15442,12703,16458,7036,16406,8015,8193,5063
"RP_pos_125_05977a3_57",21289,16026,22047,12755,30047,17657,19837,41237,23849,38654,29837,41487,18353,37086,23632
"RP_pos_127_03886a9_251",10669,22768,12171,13961,37859,6225,10537,5603,17159,8614,4728,12159,11981,13582,20060
"RP_pos_127_03926a2_49",43444,28249,106571,37075,1299118,926470,65252,43547,95021,31098,46038,21102,28148,67988,373737
"RP_pos_130_1225a2_667",1687,1241,1112,306,794,514,653,1947,2044,229,225,536,569,795,1300
"RP_pos_130_15897a2_875",67468,654268,54833,455917,73581,342079,534909,61569,594994,84827,287485,53472,374191,93906,458121
"RP_pos_131_08545a4_278",78741,27053,31872,5360,148134,51075,44651,48774,13508,23387,7486,3731,2166,167096,66873
"RP_pos_132_06535a1_184",13731,140624,13196,182695,116874,127848,303185,18898,128222,42327,154484,30419,155374,45436,64993
