"","C001I","C001K","C002I","C002K","C004I","C004K","C005K","C006I","C006K","C007I","C007K","C008I","C008K","C009I","C009K"
"RP_pos_55_05421a1_747",14.3874115492737,13.6829945836817,13.2155329997457,12.4609677625704,19.1867236185216,18.2081724281369,13.9171855763364,13.99116750614,13.2164427391605,13.4473415653707,13.169455297697,14.0590063952011,13.3955341354623,14.3568645814189,14.5881875809046
"RP_pos_76_03914a3_588",9.34872815423108,17.5018449580227,8.04984854945056,15.8150580122752,NA,14.9927171012448,15.825033299054,8.24317398347295,14.7141918449772,9.89178370321831,15.9958554620241,9.48381577726426,16.754443897083,NA,14.8656366240562
"RP_pos_83_0493a1_747",14.0168953202351,12.7603041252864,12.9670460908631,11.7586396370246,18.7245138531199,17.7688756745167,13.3499722740196,13.4378820858452,12.4022126727146,13.0287694205234,12.9325838692893,13.7653897071148,12.7801296196253,14.0260911225259,14.1222618038276
"RP_pos_86_09598a1_295",19.5299642672194,22.8599081903289,19.0452450678172,22.9281106165733,18.3747890360324,22.789643286837,23.0316591409295,19.2240699962833,23.0101763547364,19.7183154654524,22.9915280739291,19.7787204503541,22.9783585447987,18.9654066549008,23.049579042392
"RP_pos_87_04367a2_047",14.8665062122262,13.5482198573542,14.2182604987973,12.8221724614762,14.8386622820953,14.2964860866155,13.9510114513918,14.8408762500589,13.9521952199141,14.7752501793015,14.6670006295214,15.2062131090588,14.1950645637208,14.7637829403005,13.8302180810277
"RP_pos_87_04401a1_656",18.7874466726451,17.5384011488174,17.0928500312398,15.7210724797988,17.9007606958201,16.9611557352343,18.3827759878525,18.7278340582764,17.4392465208974,17.7416578970139,17.3032367102043,18.3993029618075,17.016590683342,18.1241061624822,17.1747501709686
"RP_pos_90_50712a11_294",18.2793748035972,14.477252323938,17.7360979904352,14.600725988091,17.5630472750318,14.0548586493921,14.5288813860651,17.288875083774,14.7711283378752,17.4040355450328,15.1385517992106,18.3057767689098,15.3088011760321,17.355015506904,15.1595954454176
"RP_pos_100_07609a1_972",20.0590460163644,19.5742701411574,17.3976996980864,17.0283701511733,16.7460025060957,16.3705341668034,16.6288014992212,17.058805631249,16.4696100226578,16.4501157936592,16.2713900742475,17.1142506980289,16.4036778111363,16.7455561601707,16.3083923622215
"RP_pos_100_11184a2_504",12.2992080183873,18.5176309460971,12.0501887675964,18.4584266398477,11.6160893135821,18.6806926027747,18.8496524931378,11.4178525148859,19.1458749438337,13.8049376720519,18.4234155101419,12.8181827049486,18.6319905311093,12.0714623625566,19.1318845854791
"RP_pos_103_0755a4_824",17.4826189119723,17.4363374182132,16.5546937645983,16.459303532781,16.1310329940647,15.9214923056239,16.1352082633382,15.4475675741951,15.2104430511922,16.9616757760812,16.9053870050181,16.8218237979282,16.7023079858037,16.3048147465207,16.1914062711419
"RP_pos_105_03348a3_206",11.3810021095509,18.7945872066736,10.9901039638575,18.8518496723261,12.3040660631273,19.2398968224459,18.8865420502793,10.2526654324502,18.6088900778955,12.734074491428,18.2805533057351,8.01122725542325,18.6545486262604,11.2076244682268,18.3273815945855
"RP_pos_105_06976a5_922",17.6171015221299,17.741177280668,10.2395985292491,10.9765641234153,16.595650858305,16.4632529483987,17.6378276862166,17.3670051468223,17.1209263309669,17.4024708448507,17.4146769786004,17.7544504216754,17.5633378052907,18.329226980685,18.1615452598349
"RP_pos_114_09134a2_966",17.2788033368326,21.4263722598513,17.1295949499213,20.6475137617766,16.7860398483201,21.4849030203503,20.8789325045532,17.8782185913687,19.6905385669203,19.2135433156564,20.8431205720872,17.9908463103827,20.5199922682966,16.5464574142903,22.4714718051344
"RP_pos_117_03687a3_973",16.1128467141683,15.9297207368066,15.0824401462447,14.8887432488983,15.8699070614344,15.693514182013,15.3874788658424,16.0898642282984,15.7907303001507,15.0221510456866,14.7550440361018,15.3690860967461,15.1246060069592,16.6475849040717,16.2342373930278
"RP_pos_118_08601a1_107",20.0738787437894,20.0092053497446,20.089661248414,19.8703978339483,17.9659871493886,19.7574909309393,20.1050491159788,18.5436171617914,19.722747506551,20.0476751084091,19.9192517918271,19.8171507425786,19.7959397633521,20.0660957617202,19.8268401646241
"RP_pos_118_10083a15_397",19.3123777959928,17.6094961977188,13.808260347656,17.5753619716445,13.9021866623871,17.4686956286473,17.6568647444543,18.1867042771126,17.7983452255884,18.23776546918,17.7106382995736,18.1379167232477,14.2511865035243,18.4338339860289,17.7772810039775
"RP_pos_119_07063a1_75",14.6959894647025,14.0444795036121,14.0704564159446,12.9693865213423,19.6918542492893,18.940660577721,14.6127533350446,14.4845082457165,13.8587580999354,13.8685332152599,13.6692172621168,14.5131724166674,13.6575417597034,15.2597800366479,15.1033697773925
