"","C001F","C002F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"MAG001",18.5598241238381,18.2375952990785,17.4753598864441,14.6059932903706,14.8070332855075,13.9424054205175,16.3598715676691,-0.324718156075523,18.6283764333292,14.4634175709827,16.21809587698
"MAG002",18.9849767885002,17.2614071367326,17.7289650710702,17.1556716497554,16.7343303751733,18.0865032165597,16.2080535958837,17.266042152213,17.6751730502212,17.3117106257431,16.2879941701443
"MAG003",19.1673908330449,17.743339611692,15.9673052595927,14.0897408877789,13.8447277038194,14.9792115144692,16.3705779179802,15.7339700506015,19.516499825842,15.0424385345281,14.498089915923
"MAG004",20.5432989354103,14.763529727126,16.1505902699467,15.3674447980275,15.4586631800983,14.9578148739853,14.5301649562961,16.1713544042472,16.0282911886474,15.9895671859277,15.3624654780918
"MAG005",19.5598288299524,20.9184539815623,20.8403655477413,17.3100815443728,14.3076822234367,16.6946215328672,20.0002480235028,13.8654720689936,23.8346626494908,18.9449820073898,15.1130362162346
"MAG006",19.5860862626367,18.3166947372844,19.6506351883466,15.522361599546,18.4611954287969,15.5975366291395,15.1689378685052,18.0401994034657,18.8470966024665,18.2127289795577,17.5923126866584
"MAG007",18.7084472965395,19.8969089730441,13.4460759874304,16.9545577724433,6.15000598632917,17.2478873958701,13.4283483699346,0.754346310627142,18.8164311619701,18.3237417231037,1.91346427343033
"MAG008",19.420812850637,19.5718056868209,19.6166818394638,18.5630304727542,15.1604117902826,16.8872806350926,17.4104480171349,16.5439870606981,13.7232290206534,15.2381031322749,18.3020939240033
"MAG009",17.992061761328,19.9214528732212,16.327035490663,14.5695159910531,16.0253260888979,15.8990550189262,16.7446320963499,15.4291195381173,16.6940367085769,16.3681519229654,14.0700725683442
"MAG010",24.2369798606307,16.4140579533275,20.7640538636848,21.7791272334267,23.1327547742388,22.4517373665537,21.0597887571941,23.1001525039808,24.260691543852,23.052725770393,23.216977607558
"MAG011",18.7656061705382,10.7656823742588,18.656442263047,18.4253011629375,16.9256827177894,13.9677797541898,17.3103348192774,18.3163601515682,18.335001530845,17.3075149625585,16.6263099217412
"MAG012",12.898793893594,20.6791426927075,14.4454098624358,14.748061392463,12.8093800153688,13.6981332573054,13.8672387648281,14.060126046784,14.2985665144376,14.6115141133649,12.7698664012151
"MAG013",17.0004622730344,18.8382077923928,18.4718698300191,15.9072538546949,15.6784747475779,17.0259813215195,17.1891208062453,15.9953584496638,19.3858653322394,16.762686661403,15.7271400232313
"MAG014",13.2141015514681,19.4177027245553,16.1167005918969,15.9080575168915,14.478719133163,13.6386421754401,16.3330918497506,15.3753111514058,20.3087740153562,12.9022531069812,13.5514468927484
"MAG015",17.8754370877007,21.2349176603291,21.0121539629575,16.8012392799325,19.3161028232843,16.3489104734095,16.9073177125821,18.8835102607767,20.4153031648957,19.4070903163183,18.8086635734101
"MAG016",15.5386025579522,19.6353220753603,18.8049579419533,19.7622548709159,13.9808901889796,14.6492006361017,16.9548252327424,15.2072528796227,20.0586938382615,15.4157362564044,16.2645863134707
"MAG017",19.006980940982,20.4378465169548,18.1032433164474,18.7148362702873,18.0344532801981,17.2529036629091,16.6273591600066,20.3507952463275,19.5044821183344,17.5567084562469,18.4353523482455
"MAG018",12.280285501356,18.7838536046131,14.8106160828592,11.3461192420859,10.618198512404,12.8803719861229,12.5679733892309,12.2035015569195,17.8101974776998,11.4576272810254,9.43201066808935
"MAG019",17.3455693784077,18.3502978648717,15.6197206534503,15.7047859245289,15.0588404937941,16.8599814067285,15.8260141855501,15.8052991992886,16.7230666286823,16.6634002324048,15.0165723298422
"MAG020",19.0109441498031,19.092440399801,7.30979921055661,17.6700504571725,4.18313782492583,17.65612786187,15.0450008258119,5.97412918913888,19.6332055546553,18.183907983541,15.0424945981842
"MAG021",18.3946797702334,22.836883153328,23.4346138535998,18.6574626565453,21.0631850714954,21.4165046451261,19.4248940839194,21.9466711867345,21.6527569442765,18.076982390042,20.9878919418861
"MAG022",13.875633673717,18.3517804722967,18.3044010314407,13.3520840808392,14.5552632349167,15.6731810737468,15.4147707474082,14.474587760114,13.4993203322384,15.1443499475503,14.6455709463726
"MAG023",15.2394706405233,17.9946485059314,14.4010006618507,14.787900762316,12.7947134732392,15.4764722701897,15.1443002354546,15.8963336583506,14.5897497306804,14.6846143331503,13.6714704704757
"MAG024",16.7947988689128,18.5966027591954,15.0909313278109,14.7090609869901,11.8398218357681,12.3134236077777,12.0745339272623,12.2326349467958,13.059932254727,12.9399053309168,14.3147958335636
"MAG025",12.49002863301,18.339208657388,11.8600020028214,10.2954533028242,14.1827941666144,9.78284859026667,14.9927444295222,13.4011258635169,13.5497732548607,12.7438719561599,13.7787372294368
"MAG026",14.1110352083597,16.3517568735852,12.6750954692018,14.5843658453254,12.1075623085506,12.4888856623334,12.5474263433481,12.5878699573508,14.5060750091871,13.2092065938047,12.8427387212571
"MAG027",21.8024297007615,19.5274880338771,18.9472276058217,19.6181552256069,20.4061219577349,20.082367948189,19.7315895132945,19.8939823677383,20.8398793499396,21.0801764003369,20.5042309754516
"MAG028",17.725921858273,17.0107996325033,19.5564552854444,16.9796230885358,16.693179620588,16.1205782716367,16.2000924308798,13.8617663741424,18.4532517052671,14.4943737241196,14.4491360959868
