"","C001H","C002H","C003H","C004H","C005H","C006H","C007H","C008H","C009H"
"LOC100125545",246,219,175,246,75,217,173,148,371
"TBP",59,1,40,0,0,0,57,43,112
"PSMB1",3281,2960,2462,1644,2243,2302,2895,4055,5024
"FAM120B",220,197,249,275,157,52,184,312,374
"DLL1",23,70,47,44,32,37,80,101,97
"LOC110259813",0,0,0,0,0,0,0,0,0
"LOC110259814",2,2,4,0,0,0,0,0,31
"LOC106508781",0,0,0,0,0,0,1,0,0
"LOC110259815",34,0,7,0,0,0,2,18,7
"LOC110259816",15,14,17,87,67,0,13,10,57
"LOC110259817",0,0,0,0,0,0,0,0,0
"ERMARD",199,329,273,211,292,318,188,345,432
"TCTE3",0,0,0,0,0,0,0,0,0
"PHF10",218,150,142,88,150,68,109,254,141
"C1H6orf120",465,527,607,278,283,252,442,770,704
"WDR27",0,46,23,0,22,59,6,16,36
"THBS2",201,339,371,407,265,278,212,252,512
"LOC110259818",0,3,0,0,0,0,0,0,0
"MIR9815",0,1,0,8,0,6,0,0,21
"SMOC2",74,101,85,81,158,89,87,167,329
"LOC110259819",0,0,0,0,0,0,0,5,0
"DACT2",0,4,0,69,0,0,1,22,34
"FRMD1",467,1761,1741,976,278,362,841,3874,2681
"KIF25",23,14,23,16,0,21,20,5,52
"AFDN",1855,2101,1546,1421,1263,692,2479,4161,3919
"MIR9824",0,0,0,0,0,0,1,0,0
"LOC102166504",0,0,5,0,0,0,16,7,0
"LOC106506295",0,0,0,0,0,7,0,0,0
"LOC106506286",14,0,7,0,0,14,5,0,0
"LOC106506296",0,0,0,0,0,0,0,0,0
"UNC93A",176,94,114,229,108,87,395,167,220
"TTLL2",0,0,0,0,0,0,0,0,0
"TCP10L2",0,19,17,6,1,61,3,0,3
"GPR31",16,52,43,34,0,55,25,21,72
"CCR6",0,37,44,42,0,24,20,27,35
"FGFR1OP",223,122,172,142,130,92,114,199,204
"LOC102157461",9,2,2,6,0,4,0,0,0
"RNASET2",1197,1273,1827,1436,913,942,994,1927,2268
"RPS6KA2",37,34,33,32,133,7,35,42,118
"MPC1",3139,3206,2928,1925,2599,1732,2242,4152,5152
"SFT2D1",1397,1751,2728,2083,1500,2062,2475,2949,3884
"PRR18",0,14,5,0,0,0,5,0,0
"LOC102157949",0,19,7,0,0,66,9,0,52
"T",0,0,0,0,0,0,0,0,0
"LOC110259852",23,33,0,0,0,119,2,0,0
"LOC110256592",0,0,5,32,0,0,0,1,8
"MIR9831",0,0,11,0,0,0,0,0,0
"PDE10A",6,0,5,15,0,14,16,3,12
"C1H6orf118",0,0,12,0,0,0,0,0,0
"LOC106508791",0,0,0,0,0,0,0,0,20
"LOC102165158",0,0,0,0,5,27,0,0,0
"LOC102165231",0,0,1,0,0,12,1,0,0
"LOC110256930",0,0,0,0,0,0,0,0,0
"LOC110259867",5,3,0,0,0,0,0,0,0
"QKI",883,1229,1201,836,874,1270,949,906,1297
"LOC106506356",2,23,13,0,18,76,0,0,10
"LOC110259875",23,2,4,0,15,38,8,0,5
"LOC110259878",12,0,5,0,0,0,2,4,0
"PACRG",0,0,7,0,0,0,0,0,8
"LOC106508449",0,0,0,0,0,0,0,0,0
"PRKN",11,5,5,0,0,43,3,29,0
"LOC110256593",0,0,2,13,0,0,0,0,0
"AGPAT4",920,461,545,278,279,700,781,2207,2380
"MAP3K4",125,110,61,104,54,171,77,105,206
"LOC106508795",0,0,0,0,0,0,0,0,0
"PLG",0,4,8,0,0,0,7,0,0
"SLC22A3",47,21,40,20,18,44,74,64,72
"LOC106508794",1,8,0,0,0,11,3,0,0
"SLC22A2",0,0,0,0,0,11,4,0,0
"LOC102165795",0,0,0,0,0,4,0,0,0
"LOC110259889",0,0,0,0,0,0,0,0,0
"SLC22A1",0,0,2,0,0,45,0,0,0
"IGF2R",847,358,334,376,320,165,790,1277,847
"LOC102166961",25,5,28,19,73,92,31,10,92
"MAS1",0,0,0,0,0,0,0,0,0
"PNLDC1",0,0,4,0,0,27,1,0,0
"MRPL18",324,500,344,155,317,179,315,566,596
"TCP1",878,578,332,219,390,712,592,760,1289
"ACAT2",562,180,278,318,375,168,210,548,393
"WTAP",2685,3142,3685,2742,3384,2232,4458,4112,4658
"LOC102157641",12,37,14,8,16,20,18,53,26
"SOD2",3169,3353,3912,1183,9010,1586,13557,6811,6388
"FNDC1",279,432,241,370,368,345,313,406,359
"LOC110259896",0,0,0,0,0,0,0,16,0
"LOC102158235",0,27,6,0,0,0,6,0,0
"LOC106508799",0,0,0,0,0,0,0,0,0
"LOC106508800",4,0,12,0,17,20,26,0,19
"TAGAP",18,43,41,20,129,69,36,42,103
"RSPH3",44,14,46,33,0,9,16,52,26
"LOC100521937",6,15,0,30,0,1,1,0,12
"EZR",9495,8062,5136,9522,3213,5423,6969,21426,16965
"SYTL3",48,35,64,21,23,29,44,31,92
"LOC110259902",0,12,0,0,0,0,2,0,0
"DYNLT1",482,736,669,598,394,489,655,818,1218
"TMEM181",282,335,227,182,311,136,291,301,445
"TULP4",135,79,84,24,152,32,91,259,206
"GTF2H5",434,625,684,472,353,492,496,505,934
"SERAC1",38,80,74,43,149,81,51,61,100
"LOC110259904",0,0,0,0,0,0,2,0,0
"LOC110259908",9,6,1,0,0,14,0,0,8
"SYNJ2",587,433,456,266,412,455,767,696,911
"LOC110259909",0,0,6,29,0,0,1,0,0
"LOC106506437",0,3,6,40,0,0,2,0,0
"SNX9",1157,1415,1496,1412,1506,934,1645,2202,2480
"LOC110259393",5,0,4,0,0,10,3,30,31
"LOC106506439",2,0,7,18,0,0,4,16,0
"LOC110259912",12,8,5,0,0,0,2,0,0
"ZDHHC14",41,70,115,75,90,64,77,75,86
"LOC110259916",0,0,0,0,0,0,0,0,0
"LOC110259913",0,0,0,0,0,0,0,0,0
"TMEM242",73,83,32,64,52,61,81,60,140
"LOC100153697",0,0,0,0,19,0,0,1,12
"LOC110259915",0,0,0,0,0,0,0,0,0
"LOC110259919",0,0,0,0,0,20,5,0,0
"ARID1B",289,371,480,195,248,514,375,447,552
"LOC110259923",0,11,0,0,0,22,4,0,0
"MIR9857",0,0,0,0,0,0,0,0,0
"MIR9787",0,0,0,0,0,0,0,0,0
"LOC102161179",0,0,3,0,0,0,1,0,9
"NOX3",0,0,7,0,0,46,3,0,72
"TFB1M",250,371,441,402,228,206,384,297,631
"CLDN20",0,0,3,0,0,0,0,0,0
"LOC106508808",15,13,0,0,0,7,1,8,0
"TIAM2",18,21,21,0,81,65,28,0,36
"SCAF8",170,228,402,123,241,149,281,250,344
"LOC110256595",0,7,0,0,0,0,2,0,0
"CNKSR3",349,231,118,244,178,290,299,405,324
"LOC110259934",0,0,2,0,0,0,1,0,0
"IPCEF1",31,23,47,12,10,43,23,71,115
"OPRM1",0,0,0,0,0,0,0,0,0
"RGS17",0,9,7,3,0,12,8,23,15
"MTRF1L",176,151,72,62,115,83,162,181,143
"FBXO5",335,354,315,252,278,120,266,216,519
"VIP",243,553,577,500,151,1209,576,379,1587
"MYCT1",130,145,112,131,132,147,94,111,149
"SYNE1",162,168,164,120,117,188,108,193,142
"LOC102163894",0,0,0,0,0,0,0,0,0
"ESR1",0,14,5,0,0,11,10,9,5
"CCDC170",34,38,41,37,47,40,45,11,76
"ARMT1",176,267,184,236,146,119,188,272,236
"RMND1",183,208,185,151,153,85,136,151,281
"ZBTB2",103,99,211,109,11,147,93,95,123
"AKAP12",609,666,594,480,495,707,482,353,669
"LOC106508814",32,16,5,0,0,0,4,2,8
"MTHFD1L",3,22,9,48,5,37,18,20,46
"PLEKHG1",22,53,58,103,22,106,34,28,109
"IYD",454,746,1145,523,464,310,1069,1631,1199
"LOC106508815",0,0,12,0,18,0,0,0,0
"LOC110256937",0,0,0,0,0,0,0,0,0
"LOC106508816",0,0,0,0,0,21,1,0,0
"PPP1R14C",113,70,129,55,360,119,216,68,417
"LOC102166801",48,10,33,42,60,36,87,44,167
"LOC100521647",234,81,29,0,25,49,210,145,119
"LOC100521998",8,0,4,48,2,27,37,34,23
"LOC106508817",14,0,5,0,24,0,4,0,0
"ULBP1",10,0,0,0,0,0,0,0,0
"LRP11",92,207,244,111,88,204,243,119,184
"PCMT1",4496,4847,3719,4011,4393,2970,3803,6773,6140
"NUP43",180,179,203,212,144,341,181,164,448
"LATS1",428,432,405,254,303,387,546,391,768
"KATNA1",287,381,440,337,288,218,363,630,511
"GINM1",1382,1160,886,645,994,1111,1095,1837,1752
"PPIL4",363,514,348,254,177,345,419,552,404
"ZC3H12D",165,119,364,247,43,196,181,642,533
"LOC110259956",6,0,0,0,0,0,1,0,30
"TAB2",1788,1448,1370,1562,1057,1887,2143,2895,2888
"LOC106508820",0,0,0,0,0,8,4,0,0
"LOC102159681",1,15,10,0,0,56,3,7,0
"UST",0,2,10,0,0,9,10,18,9
"LOC110259965",0,0,0,0,0,0,0,0,0
"SASH1",295,489,468,271,373,326,737,773,533
"LOC106508822",0,3,7,7,0,0,1,8,12
"SAMD5",24,41,72,88,88,64,73,25,43
"LOC110256596",0,0,2,0,0,0,2,0,2
"LOC100522716",0,0,0,0,0,0,0,0,0
"STXBP5",208,185,180,142,189,228,133,202,334
"LOC102160169",5,15,17,0,10,16,10,0,13
"ADGB",37,21,60,15,29,60,24,77,11
"RAB32",784,252,677,1035,503,293,741,1050,925
"GRM1",0,0,4,18,0,6,1,12,0
"LOC106508827",0,0,0,0,0,0,0,0,0
"SHPRH",250,293,289,81,239,252,270,212,459
"FBXO30",311,437,355,274,590,366,328,363,631
"EPM2A",49,88,57,18,23,39,25,55,51
"UTRN",430,361,473,293,261,420,283,279,502
"LOC106506455",0,0,5,0,0,20,11,0,19
"TRNAL-UAA",0,0,4,0,0,0,0,0,0
"STX11",127,48,184,82,112,50,140,100,106
"LOC110259972",0,0,0,0,0,0,0,0,0
"SF3B5",1163,1396,1459,694,1128,1165,903,1431,2401
"PLAGL1",82,25,76,21,79,127,57,65,122
"ZC2HC1B",0,0,5,0,0,13,0,0,0
"LTV1",177,180,170,84,156,144,216,149,278
"PHACTR2",199,471,642,501,181,853,316,420,508
"FUCA2",1652,2411,1776,1904,1217,1138,1994,2982,2306
"PEX3",85,184,146,75,113,159,166,164,149
"ADAT2",55,66,118,52,41,163,74,150,167
"LOC110256604",0,0,0,0,0,0,2,0,0
"AIG1",717,624,524,339,560,963,528,889,1344
"LOC102166818",8,74,19,21,0,6,13,0,0
"HIVEP2",60,77,176,109,109,257,144,233,196
"ADGRG6",734,1072,1339,392,640,151,1036,879,1002
"VTA1",2049,1802,1649,1366,1529,1316,1699,2567,3231
"LOC110259390",0,0,0,0,0,0,0,0,0
"NMBR",0,1,2,0,14,5,0,0,8
"TRNAE-UUC",0,0,0,0,0,0,0,0,0
"LOC106508831",0,0,0,0,15,0,0,0,0
"LOC110259987",8,0,0,0,0,0,4,0,0
"LOC102163845",0,0,1,0,0,0,1,0,9
"CITED2",577,588,1059,901,762,442,462,675,1203
"TXLNB",24,32,24,0,0,0,23,0,0
"HECA",876,1281,1469,1284,489,599,1394,1971,1909
"ABRACL",2360,3513,3875,2585,2609,2645,3358,2827,4618
"LOC110259990",19,13,35,0,0,26,33,12,34
"REPS1",196,286,261,130,66,179,284,375,441
"ECT2L",2,0,4,4,0,0,0,9,0
"CCDC28A",758,1327,885,617,887,590,757,1320,1323
"NHSL1",1077,921,777,1262,318,432,531,2593,711
"HEBP2",684,465,290,688,641,826,491,877,1233
"LOC100154647",0,0,2,0,0,0,2,0,0
"ARFGEF3",60,143,64,33,19,41,40,118,147
"PERP",3471,2998,3117,2937,2136,2808,3141,4926,5952
"LOC110256938",0,0,0,0,0,0,0,0,0
"TNFAIP3",943,257,319,450,487,361,1536,1139,590
"LOC100621792",14,0,0,0,42,0,6,0,0
"LOC106508840",5,0,3,0,0,0,0,0,0
"OLIG3",0,0,0,0,0,0,0,0,0
"LOC102167333",9,0,42,0,9,0,79,7,31
"IFNGR1",5664,3144,4689,2335,3798,3744,7599,6689,9249
"IL22RA2",9,0,0,0,31,0,7,26,0
"IL20RA",61,75,33,19,147,23,65,84,62
"SLC35D3",11,0,5,0,0,22,2,2,21
"PEX7",92,116,138,93,44,51,132,128,151
"LOC106508844",15,12,5,12,0,15,5,0,0
"MAP3K5",38,76,165,128,46,122,90,74,83
"MAP7",641,862,680,449,285,453,639,1058,1323
"LOC110256640",5,1,0,0,0,7,0,0,0
"LOC106506526",10,9,33,0,0,0,8,0,10
"BCLAF1",1411,1597,1310,700,869,1480,1268,1189,1840
"MTFR2",105,34,103,45,92,30,42,57,148
"LOC102158075",0,0,0,0,0,0,0,0,0
"PDE7B",17,39,102,46,96,75,29,91,66
"LOC106504354",0,0,3,0,0,0,0,0,0
"AHI1",35,48,56,29,20,103,16,34,69
"LOC110260025",0,0,0,0,0,10,0,8,0
"MYB",225,202,160,37,232,169,176,167,159
"HBS1L",952,1199,1447,900,976,973,1291,1319,1816
"ALDH8A1",0,0,2,0,0,0,0,0,0
"LOC110260031",13,75,189,19,0,45,6,129,54
"LOC110260032",8,0,56,29,0,0,14,43,0
