"","C001F","C002F","C003F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"D300038:bin_000002",288899,190312,35479,116358,12905,13493,9383,106297,19,197412,10483,45602
"D300038:bin_000004",410700,85225,43906,143124,100801,63726,273960,94210,88305,89070,104602,48209
"D300038:bin_000006",476331,126035,888,34969,8357,6026,22346,107205,26062,406118,16980,11235
"D300038:bin_000008",1370953,11436,30921,40473,24179,23015,21955,24037,36965,23880,36516,22955
"D300038:bin_000012",651150,1547489,1490243,1683035,114072,8874,88679,2019293,5561,6777342,404532,18729
"D300038:bin_000014",664706,203403,7347,693624,27409,261339,36973,40830,166473,236666,219698,136638
"D300038:bin_000017",326989,730303,71598,4400,85870,106,137776,9646,24,230753,241196,37
"D300038:bin_000022",741629,2533,3360,921,3561,693,8062,2744,1285,918,1414,1290
"D300038:bin_000025",583474,567509,7835,675465,321932,18057,103341,245505,49704,3582,19931,246527
"D300038:bin_000030",179417,744162,1450,46572,12516,36271,47092,144269,20385,40539,49362,7836
"D300038:bin_000034",12869748,43430,47544,1594308,3554724,7079058,6856111,4363617,6305968,8402871,7011841,7998301
"D300038:bin_000037",342862,633,311,310685,286846,74189,9583,226488,209913,154387,104250,63067
"D300040:bin_000005",2885,1305702,613,10065,14532,2649,7673,13785,6538,5784,11873,2773
"D300040:bin_000007",80141,314330,2129,266276,37336,27477,115399,205520,32126,366218,67517,30808
"D300040:bin_000008",3687,502525,6284,39395,37360,10251,7310,104059,19515,744745,2944,5114
"D300040:bin_000012",162820,1925925,54885,1898558,76018,527393,67395,164173,336819,805692,587405,376387
"D300040:bin_000013",24988,596447,5571325,351418,847407,6746,16988,170495,17020,617454,23027,47320
"D300040:bin_000014",418150,1095951,7199,195356,365335,182630,138331,131446,1061103,402289,127517,275745
"D300040:bin_000015",1845,300529,23,13666,1134,665,4014,4980,1561,99544,1110,398
"D300040:bin_000016",105613,209233,12427,26466,31745,16614,101123,69450,27596,41484,62400,17302
"D300040:bin_000022",419505,387041,6418,158,152752,60,191734,36884,91,445062,214441,17675
"D300040:bin_000024",251550,5260858,102085,8435774,348318,1947885,3557492,1291396,3172571,1901752,196042,1993270
"D300040:bin_000029",6292,209494,401,231327,4572,10933,39293,49875,9267,2987,18461,12716
"D300040:bin_000034",19605,155242,495,9695,15022,2620,33532,40015,29682,7392,12622,5637
"D300040:bin_000042",68052,257215,13039,17225,14067,1357,2663,3546,1592,2108,3030,9626
"D300040:bin_000062",2135,207291,245,1388,635,7988,625,35331,3813,3111,2613,6154
"D300042:bin_000001",7655,41333,944181,2421,12673,1614,3010,4907,2041,6890,3738,2929
"D300042:bin_000002",3246837,548080,860448,395069,757513,1218400,1374447,1642658,752199,1094337,2041674,1411623
"D300042:bin_000007",143899,69765,557307,644314,87600,61678,56200,93615,5544,170513,10760,10781
"D300042:bin_000015",37492,771404,108389,37756,85932,60894,61636,48316,17306,80940,19058,28588
"D300044:bin_000001",1729981,3061,44969,943844,1457338,1031052,57141,1107567,10648,14483,85258,13759
"D300044:bin_000003",143391,141235,261,365250,448727,186242,644300,97091,100799,5586,163908,87830
"D300044:bin_000004",27070,3769,364,285389,253575,61534,10074,5576,6779,748,30870,18888
