"","sequence_id","D300038.lib1","D300040.lib1","D300042.lib1","D300044.lib1","D300046.lib1","D300048.lib1","D300050.lib1","D300053.lib1","D300055.lib1","D300057.lib1","D300059.lib1","D300061.lib1","D300063.lib1","D300065.lib1","D300068.lib1","D300038.lib1.1","D300040.lib1.1","D300042.lib1.1","D300044.lib1.1","D300046.lib1.1","D300048.lib1.1","D300050.lib1.1","D300053.lib1.1","D300055.lib1.1","D300063.lib1.1","D300065.lib1.1","D300068.lib1.1","D300057.lib1.1","D300059.lib1.1","D300061.lib1.1"
"1","D300038:bin_000002",2164378,2144408,1606576,2121155,923635,924105,691856,2131027,176,1661074,1845514,2004357,2162212,794241,1756931,2164378,2144408,1606576,2121155,923635,924105,691856,2131027,176,2162212,794241,1756931,1661074,1845514,2004357
"2","D300038:bin_000004",3375151,2442176,1828731,2553290,2550047,2303558,2837917,2528519,2508882,1828980,2997325,2717289,2485290,2579538,1996991,3375151,2442176,1828731,2553290,2550047,2303558,2837917,2528519,2508882,2485290,2579538,1996991,1828980,2997325,2717289
"3","D300038:bin_000006",2844721,245439,42734,317122,165011,174477,429929,2624993,987727,307678,237526,388128,2783328,941272,165915,2844721,245439,42734,317122,165011,174477,429929,2624993,987727,2783328,941272,165915,307678,237526,388128
"4","D300038:bin_000008",2500056,41394,1570902,84917,112354,71069,131392,88889,226348,79926,69002,106164,98643,87198,454487,2500056,41394,1570902,84917,112354,71069,131392,88889,226348,98643,87198,454487,79926,69002,106164
"5","D300038:bin_000012",2643495,2617229,2624645,2496252,2498059,59018,2323515,2628616,32705,398268,344626,2466373,2638487,2622397,61631,2643495,2617229,2624645,2496252,2498059,59018,2323515,2628616,32705,2638487,2622397,61631,398268,344626,2466373
"6","D300038:bin_000014",2885089,2001296,486079,2046483,659926,2669570,1243855,1228213,2729339,1859285,1694063,2819463,2295812,2159513,2255155,2885089,2001296,486079,2046483,659926,2669570,1243855,1228213,2729339,2295812,2159513,2255155,1859285,1694063,2819463
"7","D300038:bin_000017",2397826,2390752,2139732,366888,2254398,8022,2135842,755255,627,659556,2252674,2358746,2350676,2371408,900,2397826,2390752,2139732,366888,2254398,8022,2135842,755255,627,2350676,2371408,900,659556,2252674,2358746
"8","D300038:bin_000022",1677703,18215,35886,4747,37895,4095,32376,51899,6017,13534,448592,20473,3947,5814,1686,1677703,18215,35886,4747,37895,4095,32376,51899,6017,3947,5814,1686,13534,448592,20473
"9","D300038:bin_000025",2763835,2277634,593954,2338695,2324747,1161575,2653151,2597107,1950557,2169101,978022,2226660,59627,1134018,2302013,2763835,2277634,593954,2338695,2324747,1161575,2653151,2597107,1950557,59627,1134018,2302013,2169101,978022,2226660
"10","D300038:bin_000030",1459983,1402686,106692,1329158,773116,1276063,1319015,1430250,983743,1037381,1388594,1422647,1284529,1386807,485561,1459983,1402686,106692,1329158,773116,1276063,1319015,1430250,983743,1284529,1386807,485561,1037381,1388594,1422647
"11","D300038:bin_000034",3760644,227200,2052954,3655839,3663628,3644305,3456871,3538829,3607302,628882,562418,3684458,3453209,3720247,3651356,3760644,227200,2052954,3655839,3663628,3644305,3456871,3538829,3607302,3453209,3720247,3651356,628882,562418,3684458
"12","D300038:bin_000037",2514908,26330,25068,2403479,2310829,2227710,187727,2415200,2368410,1799078,2225773,343549,2343428,2462173,2095107,2514908,26330,25068,2403479,2310829,2227710,187727,2415200,2368410,2343428,2462173,2095107,1799078,2225773,343549
"13","D300040:bin_000005",188923,2636149,23748,732656,595738,47493,85129,95390,392792,71702,1925381,32368,61377,81741,67830,188923,2636149,23748,732656,595738,47493,85129,95390,392792,61377,81741,67830,71702,1925381,32368
"14","D300040:bin_000007",2016899,2523105,152035,2449007,1483116,70164,2351440,2386130,66682,1921395,1819883,2498737,2467924,2049206,71342,2016899,2523105,152035,2449007,1483116,70164,2351440,2386130,66682,2467924,2049206,71342,1921395,1819883,2498737
"15","D300040:bin_000008",50652,2782234,468100,1615863,1681940,230409,118353,2459405,135536,2641432,606395,2695843,2621644,13536,176190,50652,2782234,468100,1615863,1681940,230409,118353,2459405,135536,2621644,13536,176190,2641432,606395,2695843
