ID,ExperimentaUnitTreatment_Series,Code,Type,Description,Container,Institution,Preservative,Weight(g),PreservativeVolume(mL),Notes,Attachment,Status,Series,Experiment_ExperimentalUnit_Serie,ExperimentalUnit_Series,Position,SeriesDayCount,SeriesDate,SeriesLetter,ExperimentalUnitSlaughteringDayCount_Series,Experiment_code,Experiment_name,BacteriaDescription,BacteriaID,pH,Individual
C001aO,TC1,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C001a,C,C001,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C001
C002aO,TC1,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C002a,C,C002,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C002
C003aO,TC1,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C003a,C,C003,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C003
C004aO,TC2,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C004a,C,C004,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C004
C005aO,TC2,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C005a,C,C005,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C005
C006aO,TC2,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C006a,C,C006,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C006
C007aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C007a,C,C007,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C007
C008aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C008a,C,C008,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C008
C009aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C009a,C,C009,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C009
C010aO,TC4,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C010a,C,C010,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C010
C011aO,TC4,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C011a,C,C011,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C011
C012aO,TC4,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C012a,C,C012,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C012
C013aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C013a,C,C013,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C013
C014aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C014a,C,C014,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C014
C015aO,TC3,O,Colon,Digesta,50 mL tube,NMBU,None,,,,,Shipped NMBU,C015a,C,C015,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C015
C001aA,TC1,A,Duodenum,All section,Undefined Tissue cassette,UCPH,Glycerol,,,,,,C001a,C,C001,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C001
C002aA,TC1,A,Duodenum,All section,Undefined Tissue cassette,UCPH,Glycerol,,,,,,C002a,C,C002,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C002
C003aA,TC1,A,Duodenum,All section,Undefined Tissue cassette,UCPH,Glycerol,,,,,,C003a,C,C003,,40,,a,,C,C - Proof-of-principle swine trial,,Add Bacteria,,C003
