"","gene_id","D300170.lib1","D300171.lib1","D300172.lib1","D300173.lib1","D300174.lib1","D300175.lib1","D300176.lib1","D300177.lib1","D300178.lib1","D300179.lib1","D300180.lib1","D300181.lib1"
"1","LOC100125545",246,219,175,246,75,217,173,148,371,214,215,223
"2","TBP",59,1,40,0,0,0,57,43,112,53,9,84
"3","PSMB1",3281,2960,2462,1644,2243,2302,2895,4055,5024,5138,2132,3310
"4","FAM120B",220,197,249,275,157,52,184,312,374,396,365,154
"5","DLL1",23,70,47,44,32,37,80,101,97,29,75,0
"6","LOC110259813",0,0,0,0,0,0,0,0,0,0,0,0
"7","LOC110259814",2,2,4,0,0,0,0,0,31,0,28,0
"8","LOC106508781",0,0,0,0,0,0,1,0,0,0,0,0
"9","LOC110259815",34,0,7,0,0,0,2,18,7,5,0,0
"10","LOC110259816",15,14,17,87,67,0,13,10,57,41,5,0
"11","LOC110259817",0,0,0,0,0,0,0,0,0,2,0,0
"12","ERMARD",199,329,273,211,292,318,188,345,432,456,232,472
"13","TCTE3",0,0,0,0,0,0,0,0,0,0,0,0
"14","PHF10",218,150,142,88,150,68,109,254,141,205,117,162
"15","C1H6orf120",465,527,607,278,283,252,442,770,704,694,570,478
"16","WDR27",0,46,23,0,22,59,6,16,36,89,0,0
"17","THBS2",201,339,371,407,265,278,212,252,512,418,432,195
"18","LOC110259818",0,3,0,0,0,0,0,0,0,1,0,0
"19","MIR9815",0,1,0,8,0,6,0,0,21,0,0,0
"20","SMOC2",74,101,85,81,158,89,87,167,329,109,91,51
"21","LOC110259819",0,0,0,0,0,0,0,5,0,0,0,0
"22","DACT2",0,4,0,69,0,0,1,22,34,50,0,0
"23","FRMD1",467,1761,1741,976,278,362,841,3874,2681,2932,2763,1524
"24","KIF25",23,14,23,16,0,21,20,5,52,7,33,0
"25","AFDN",1855,2101,1546,1421,1263,692,2479,4161,3919,3354,2974,1469
"26","MIR9824",0,0,0,0,0,0,1,0,0,0,0,0
"27","LOC102166504",0,0,5,0,0,0,16,7,0,17,0,0
"28","LOC106506295",0,0,0,0,0,7,0,0,0,10,0,0
"29","LOC106506286",14,0,7,0,0,14,5,0,0,11,14,0
"30","LOC106506296",0,0,0,0,0,0,0,0,0,0,0,0
"31","UNC93A",176,94,114,229,108,87,395,167,220,465,595,271
"32","TTLL2",0,0,0,0,0,0,0,0,0,0,0,0
"33","TCP10L2",0,19,17,6,1,61,3,0,3,36,20,0
"34","GPR31",16,52,43,34,0,55,25,21,72,31,50,0
"35","CCR6",0,37,44,42,0,24,20,27,35,30,49,27
"36","FGFR1OP",223,122,172,142,130,92,114,199,204,172,259,133
"37","LOC102157461",9,2,2,6,0,4,0,0,0,0,0,0
"38","RNASET2",1197,1273,1827,1436,913,942,994,1927,2268,3009,1735,635
"39","RPS6KA2",37,34,33,32,133,7,35,42,118,53,87,0
"40","MPC1",3139,3206,2928,1925,2599,1732,2242,4152,5152,4576,3764,3593
"41","SFT2D1",1397,1751,2728,2083,1500,2062,2475,2949,3884,3590,2902,2507
"42","PRR18",0,14,5,0,0,0,5,0,0,26,0,0
"43","LOC102157949",0,19,7,0,0,66,9,0,52,3,0,0
"44","T",0,0,0,0,0,0,0,0,0,0,0,0
"45","LOC110259852",23,33,0,0,0,119,2,0,0,9,18,0
"46","LOC110256592",0,0,5,32,0,0,0,1,8,12,0,0
"47","MIR9831",0,0,11,0,0,0,0,0,0,0,0,0
"48","PDE10A",6,0,5,15,0,14,16,3,12,12,0,7
"49","C1H6orf118",0,0,12,0,0,0,0,0,0,0,0,0
"50","LOC106508791",0,0,0,0,0,0,0,0,20,0,0,0
"51","LOC102165158",0,0,0,0,5,27,0,0,0,0,0,0
"52","LOC102165231",0,0,1,0,0,12,1,0,0,0,0,0
"53","LOC110256930",0,0,0,0,0,0,0,0,0,0,0,0
"54","LOC110259867",5,3,0,0,0,0,0,0,0,1,0,0
"55","QKI",883,1229,1201,836,874,1270,949,906,1297,1498,1365,779
"56","LOC106506356",2,23,13,0,18,76,0,0,10,10,0,0
"57","LOC110259875",23,2,4,0,15,38,8,0,5,5,0,25
"58","LOC110259878",12,0,5,0,0,0,2,4,0,9,0,23
"59","PACRG",0,0,7,0,0,0,0,0,8,0,17,0
"60","LOC106508449",0,0,0,0,0,0,0,0,0,0,0,0
"61","PRKN",11,5,5,0,0,43,3,29,0,4,14,0
"62","LOC110256593",0,0,2,13,0,0,0,0,0,2,39,13
"63","AGPAT4",920,461,545,278,279,700,781,2207,2380,1798,1464,537
"64","MAP3K4",125,110,61,104,54,171,77,105,206,188,169,66
"65","LOC106508795",0,0,0,0,0,0,0,0,0,0,0,0
"66","PLG",0,4,8,0,0,0,7,0,0,7,0,0
"67","SLC22A3",47,21,40,20,18,44,74,64,72,61,46,26
"68","LOC106508794",1,8,0,0,0,11,3,0,0,0,0,0
"69","SLC22A2",0,0,0,0,0,11,4,0,0,0,0,0
"70","LOC102165795",0,0,0,0,0,4,0,0,0,5,0,0
"71","LOC110259889",0,0,0,0,0,0,0,0,0,0,0,0
"72","SLC22A1",0,0,2,0,0,45,0,0,0,8,0,0
"73","IGF2R",847,358,334,376,320,165,790,1277,847,613,1097,207
"74","LOC102166961",25,5,28,19,73,92,31,10,92,23,75,55
"75","MAS1",0,0,0,0,0,0,0,0,0,0,0,0
"76","PNLDC1",0,0,4,0,0,27,1,0,0,0,0,14
"77","MRPL18",324,500,344,155,317,179,315,566,596,304,243,180
"78","TCP1",878,578,332,219,390,712,592,760,1289,634,585,354
"79","ACAT2",562,180,278,318,375,168,210,548,393,339,211,247
"80","WTAP",2685,3142,3685,2742,3384,2232,4458,4112,4658,5945,4725,4645
"81","LOC102157641",12,37,14,8,16,20,18,53,26,12,80,51
"82","SOD2",3169,3353,3912,1183,9010,1586,13557,6811,6388,6654,3206,7085
"83","FNDC1",279,432,241,370,368,345,313,406,359,659,460,264
"84","LOC110259896",0,0,0,0,0,0,0,16,0,3,0,0
"85","LOC102158235",0,27,6,0,0,0,6,0,0,0,0,0
"86","LOC106508799",0,0,0,0,0,0,0,0,0,0,0,0
"87","LOC106508800",4,0,12,0,17,20,26,0,19,11,0,9
"88","TAGAP",18,43,41,20,129,69,36,42,103,65,31,15
"89","RSPH3",44,14,46,33,0,9,16,52,26,22,49,0
