"","sequence_id","D300038.lib1","D300040.lib1","D300042.lib1","D300044.lib1","D300046.lib1","D300048.lib1","D300050.lib1","D300053.lib1","D300055.lib1","D300057.lib1","D300059.lib1","D300061.lib1","D300063.lib1","D300065.lib1","D300068.lib1","D300038.lib1.1","D300040.lib1.1","D300042.lib1.1","D300044.lib1.1","D300046.lib1.1","D300048.lib1.1","D300050.lib1.1","D300053.lib1.1","D300055.lib1.1","D300063.lib1.1","D300065.lib1.1","D300068.lib1.1","D300057.lib1.1","D300059.lib1.1","D300061.lib1.1"
"1","D300038:bin_000002",288899,190312,35479,116358,12905,13493,9383,106297,19,39150,47423,74446,197412,10483,45602,288899,190312,35479,116358,12905,13493,9383,106297,19,197412,10483,45602,39150,47423,74446
"2","D300038:bin_000004",410700,85225,43906,143124,100801,63726,273960,94210,88305,40530,226871,197660,89070,104602,48209,410700,85225,43906,143124,100801,63726,273960,94210,88305,89070,104602,48209,40530,226871,197660
"3","D300038:bin_000006",476331,126035,888,34969,8357,6026,22346,107205,26062,10257,8681,18890,406118,16980,11235,476331,126035,888,34969,8357,6026,22346,107205,26062,406118,16980,11235,10257,8681,18890
"4","D300038:bin_000008",1370953,11436,30921,40473,24179,23015,21955,24037,36965,15094,17031,27150,23880,36516,22955,1370953,11436,30921,40473,24179,23015,21955,24037,36965,23880,36516,22955,15094,17031,27150
"5","D300038:bin_000012",651150,1547489,1490243,1683035,114072,8874,88679,2019293,5561,48472,17337,2865360,6777342,404532,18729,651150,1547489,1490243,1683035,114072,8874,88679,2019293,5561,6777342,404532,18729,48472,17337,2865360
"6","D300038:bin_000014",664706,203403,7347,693624,27409,261339,36973,40830,166473,161043,103987,677271,236666,219698,136638,664706,203403,7347,693624,27409,261339,36973,40830,166473,236666,219698,136638,161043,103987,677271
"7","D300038:bin_000017",326989,730303,71598,4400,85870,106,137776,9646,24,8790,86131,290389,230753,241196,37,326989,730303,71598,4400,85870,106,137776,9646,24,230753,241196,37,8790,86131,290389
"8","D300038:bin_000022",741629,2533,3360,921,3561,693,8062,2744,1285,935,15944,2581,918,1414,1290,741629,2533,3360,921,3561,693,8062,2744,1285,918,1414,1290,935,15944,2581
"9","D300038:bin_000025",583474,567509,7835,675465,321932,18057,103341,245505,49704,163682,14522,106343,3582,19931,246527,583474,567509,7835,675465,321932,18057,103341,245505,49704,3582,19931,246527,163682,14522,106343
"10","D300038:bin_000030",179417,744162,1450,46572,12516,36271,47092,144269,20385,24356,296329,105749,40539,49362,7836,179417,744162,1450,46572,12516,36271,47092,144269,20385,40539,49362,7836,24356,296329,105749
"11","D300038:bin_000034",12869748,43430,47544,1594308,3554724,7079058,6856111,4363617,6305968,273106,228603,4137179,8402871,7011841,7998301,12869748,43430,47544,1594308,3554724,7079058,6856111,4363617,6305968,8402871,7011841,7998301,273106,228603,4137179
"12","D300038:bin_000037",342862,633,311,310685,286846,74189,9583,226488,209913,40757,87471,23446,154387,104250,63067,342862,633,311,310685,286846,74189,9583,226488,209913,154387,104250,63067,40757,87471,23446
"13","D300040:bin_000005",2885,1305702,613,10065,14532,2649,7673,13785,6538,1778,48632,1476,5784,11873,2773,2885,1305702,613,10065,14532,2649,7673,13785,6538,5784,11873,2773,1778,48632,1476
"14","D300040:bin_000007",80141,314330,2129,266276,37336,27477,115399,205520,32126,67279,53880,312175,366218,67517,30808,80141,314330,2129,266276,37336,27477,115399,205520,32126,366218,67517,30808,67279,53880,312175
"15","D300040:bin_000008",3687,502525,6284,39395,37360,10251,7310,104059,19515,187094,12972,590998,744745,2944,5114,3687,502525,6284,39395,37360,10251,7310,104059,19515,744745,2944,5114,187094,12972,590998
"16","D300040:bin_000012",162820,1925925,54885,1898558,76018,527393,67395,164173,336819,412141,297082,409312,805692,587405,376387,162820,1925925,54885,1898558,76018,527393,67395,164173,336819,805692,587405,376387,412141,297082,409312
"17","D300040:bin_000013",24988,596447,5571325,351418,847407,6746,16988,170495,17020,9822,14753,17698,617454,23027,47320,24988,596447,5571325,351418,847407,6746,16988,170495,17020,617454,23027,47320,9822,14753,17698
"18","D300040:bin_000014",418150,1095951,7199,195356,365335,182630,138331,131446,1061103,139504,491932,674947,402289,127517,275745,418150,1095951,7199,195356,365335,182630,138331,131446,1061103,402289,127517,275745,139504,491932,674947
"19","D300040:bin_000015",1845,300529,23,13666,1134,665,4014,4980,1561,6980,3693,425297,99544,1110,398,1845,300529,23,13666,1134,665,4014,4980,1561,99544,1110,398,6980,3693,425297
"20","D300040:bin_000016",105613,209233,12427,26466,31745,16614,101123,69450,27596,17067,16827,96452,41484,62400,17302,105613,209233,12427,26466,31745,16614,101123,69450,27596,41484,62400,17302,17067,16827,96452
"21","D300040:bin_000022",419505,387041,6418,158,152752,60,191734,36884,91,67,157524,797183,445062,214441,17675,419505,387041,6418,158,152752,60,191734,36884,91,445062,214441,17675,67,157524,797183
"22","D300040:bin_000024",251550,5260858,102085,8435774,348318,1947885,3557492,1291396,3172571,2565926,1508569,3845993,1901752,196042,1993270,251550,5260858,102085,8435774,348318,1947885,3557492,1291396,3172571,1901752,196042,1993270,2565926,1508569,3845993
"23","D300040:bin_000029",6292,209494,401,231327,4572,10933,39293,49875,9267,6314,39198,96057,2987,18461,12716,6292,209494,401,231327,4572,10933,39293,49875,9267,2987,18461,12716,6314,39198,96057
"24","D300040:bin_000034",19605,155242,495,9695,15022,2620,33532,40015,29682,8678,99950,42397,7392,12622,5637,19605,155242,495,9695,15022,2620,33532,40015,29682,7392,12622,5637,8678,99950,42397
"25","D300040:bin_000042",68052,257215,13039,17225,14067,1357,2663,3546,1592,17119,31031,12533,2108,3030,9626,68052,257215,13039,17225,14067,1357,2663,3546,1592,2108,3030,9626,17119,31031,12533
"26","D300040:bin_000062",2135,207291,245,1388,635,7988,625,35331,3813,69307,2644,3695,3111,2613,6154,2135,207291,245,1388,635,7988,625,35331,3813,3111,2613,6154,69307,2644,3695
"27","D300042:bin_000001",7655,41333,944181,2421,12673,1614,3010,4907,2041,1747,10848,9267,6890,3738,2929,7655,41333,944181,2421,12673,1614,3010,4907,2041,6890,3738,2929,1747,10848,9267
"28","D300042:bin_000002",3246837,548080,860448,395069,757513,1218400,1374447,1642658,752199,1739689,287483,572996,1094337,2041674,1411623,3246837,548080,860448,395069,757513,1218400,1374447,1642658,752199,1094337,2041674,1411623,1739689,287483,572996
"29","D300042:bin_000007",143899,69765,557307,644314,87600,61678,56200,93615,5544,37288,182618,261774,170513,10760,10781,143899,69765,557307,644314,87600,61678,56200,93615,5544,170513,10760,10781,37288,182618,261774
"30","D300042:bin_000015",37492,771404,108389,37756,85932,60894,61636,48316,17306,223468,112346,77903,80940,19058,28588,37492,771404,108389,37756,85932,60894,61636,48316,17306,80940,19058,28588,223468,112346,77903
"31","D300044:bin_000001",1729981,3061,44969,943844,1457338,1031052,57141,1107567,10648,1410429,3681890,30888,14483,85258,13759,1729981,3061,44969,943844,1457338,1031052,57141,1107567,10648,14483,85258,13759,1410429,3681890,30888
"32","D300044:bin_000003",143391,141235,261,365250,448727,186242,644300,97091,100799,57798,72074,153226,5586,163908,87830,143391,141235,261,365250,448727,186242,644300,97091,100799,5586,163908,87830,57798,72074,153226
