"","type","category","contrast","id","name","formula","flag","log2FoldChange","padj","label","bar_start","bar_stop","bar_label","bar_y"
"1","all","type","digesta_v_tissue","RP_pos_76_03914a3_588",NA,NA,"good_msms",6.93890353699256,0.035760382118646,"RP_pos_76_03914a3_588
not annotated","digesta","tissue","6.94 *",18.3769372059239
"2","all","type","digesta_v_tissue","RP_pos_86_09598a1_295",NA,NA,"good_msms",3.6554098152855,2.00909645556221e-11,"RP_pos_86_09598a1_295
not annotated","digesta","tissue","3.66 ***",24.2020579945116
"3","all","type","digesta_v_tissue","RP_pos_90_50712a11_294",NA,NA,"good_msms",-2.95311291669632,2.93094046384541e-05,"RP_pos_90_50712a11_294
not annotated","digesta","tissue","-2.95 ***",19.2210656073553
"4","all","type","digesta_v_tissue","RP_pos_100_11184a2_504",NA,NA,"good_msms",6.23972334343016,2.9094068837735e-07,"RP_pos_100_11184a2_504
not annotated","digesta","tissue","6.24 ***",20.1031686910253
"5","all","type","digesta_v_tissue","RP_pos_105_03348a3_206",NA,NA,"good_msms",7.22544918878806,5.157857310419e-07,"RP_pos_105_03348a3_206
not annotated","digesta","tissue","7.23 ***",20.2018916635682
"6","all","type","digesta_v_tissue","RP_pos_114_09134a2_966",NA,NA,"good_msms",3.38672965058791,0.0081338927474901,"RP_pos_114_09134a2_966
not annotated","digesta","tissue","3.39 **",23.5950453953911
"7","all","type","digesta_v_tissue","RP_pos_120_08131a1_905","phenylethanolamine put",NA,"good_msms",3.57635332897602,2.60705523789734e-10,"RP_pos_120_08131a1_905
phenylethanolamine put","digesta","tissue","3.58 ***",22.6030227687849
"8","all","type","digesta_v_tissue","RP_pos_130_15897a2_875",NA,NA,"good_msms",2.72580531990303,1.99301761352088e-05,"RP_pos_130_15897a2_875
not annotated","digesta","tissue","2.73 ***",20.285498294454
"9","all","type","digesta_v_tissue","RP_pos_132_06535a1_184",NA,NA,"good_msms",1.96979633131816,0.0049502397474097,"RP_pos_132_06535a1_184
not annotated","digesta","tissue","1.97 **",19.1203307953821
"10","all","type","digesta_v_tissue","RP_pos_132_10178a1_298","L-Isoleucine","C6H13NO2","curated",3.64143893944017,2.00909645556221e-11,"RP_pos_132_10178a1_298
L-Isoleucine","digesta","tissue","3.64 ***",27.1593027319718
"11","all","type","digesta_v_tissue","RP_pos_136_06174a1_393","NTBC Adenine","C5H5N5","good_msms",2.65037469166364,0.00142919934201264,"RP_pos_136_06174a1_393
NTBC Adenine","digesta","tissue","2.65 **",19.7774028578125
"12","all","type","digesta_v_tissue","RP_pos_136_07314a2_968",NA,NA,"good_msms",3.21578192527726,0.00437152312507809,"RP_pos_136_07314a2_968
not annotated","digesta","tissue","3.22 **",19.5282490530381
"13","all","type","digesta_v_tissue","RP_pos_137_04587a1_45","Hypoxanthine","C5H4N4O","curated",4.00514851760002,1.02297747829021e-05,"RP_pos_137_04587a1_45
Hypoxanthine","digesta","tissue","4.01 ***",25.4360702727438
"14","all","type","digesta_v_tissue","RP_pos_137_04613a1_305","Hypoxanthine","C5H4N4O","good_msms",3.80608577667635,6.58164819752092e-06,"RP_pos_137_04613a1_305
Hypoxanthine","digesta","tissue","3.81 ***",24.2069270906405
