"","category","contrast","MAG","lowest","taxonomy","log2FoldChange","padj","baseMean"
"1","diet","control_v_AcGGM","MAG001","s__Succinivibrio sp022779845","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp022779845",0.91778129063836,0.796024722288703,118089.150901675
"2","diet","control_v_AcGGM","MAG002","g__Sutterella","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella",0.642094010839134,0.75100601371425,158567.240705883
"3","diet","control_v_AcGGM","MAG003","s__Gemmiger sp900554145","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900554145",0.102357869846722,0.977314000674582,157461.038788406
"4","diet","control_v_AcGGM","MAG004","s__Alloprevotella sp004552865","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865",3.44067760080186,NA,180851.361708508
"5","diet","control_v_AcGGM","MAG005","s__Prevotella sp000434975","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975",-1.22207170166564,0.717531503141631,1789333.00175571
"6","diet","control_v_AcGGM","MAG006","g__CALZFJ01 (1)","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CALZFJ01",1.26604019631178,0.504356927712076,313832.431872976
"7","diet","control_v_AcGGM","MAG007","s__Megasphaera elsdenii","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii",1.1118406738685,0.803059784135937,216147.608814474
"8","diet","control_v_AcGGM","MAG008","s__VSOB01 sp022779165","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__VSOB01 sp022779165",2.4252480244539,0.0853752320575308,302160.615534459
"9","diet","control_v_AcGGM","MAG009","g__Enteromonas (1)","d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas",2.5043020425276,0.0820921362018489,152510.114134558
"10","diet","control_v_AcGGM","MAG010","s__Prevotella sp022764085","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022764085",-0.467720206352681,0.851293669643616,7344557.53724733
