,X1_hostT
LOC100125545,0.015049839971346818
TBP,-0.06193433110711545
PSMB1,-0.22755163604603787
FAM120B,0.21014172049936353
DLL1,0.021198708559472586
LOC110259814,-0.04242657707415408
LOC106508781,-0.04775822046797854
LOC110259815,-0.037712225377123
LOC110259816,0.23337894735719356
ERMARD,-0.0789585780053186
PHF10,-0.013042174214443203
C1H6orf120,-0.05424332430123144
WDR27,-0.16517629867866643
THBS2,0.11353869402470534
LOC110259818,-0.046846649144474777
MIR9815,0.07021153176711994
SMOC2,-0.008053142587501033
LOC110259819,0.043696582028615726
DACT2,0.25031249557354074
FRMD1,0.1017816518682444
KIF25,-0.0741003997572249
AFDN,0.06181345397442599
MIR9824,-0.04775822046797854
LOC102166504,-0.020925966243043805
LOC106506295,-0.12745401182336283
LOC106506286,-0.1656441291005898
UNC93A,0.09329293330099306
TCP10L2,-0.09505564808442368
GPR31,-0.05216840746695202
CCR6,0.1022485950640644
FGFR1OP,0.08343568281742486
LOC102157461,0.03396014325154549
RNASET2,0.21209043295169155
RPS6KA2,0.09418042153554493
MPC1,-0.045659055370534496
SFT2D1,0.04501503053727239
PRR18,-0.07013508771392259
LOC102157949,-0.16970830633191608
LOC110259852,-0.17944646091403257
LOC110256592,0.2461061633583712
MIR9831,-2.748831739664758e-32
PDE10A,0.042922061888420085
C1H6orf118,-2.748831739664758e-32
LOC106508791,-0.008803938504496709
LOC102165158,-0.12745401182336286
LOC102165231,-0.14110913906269826
LOC110259867,-0.0757653151959614
QKI,-0.11009257269065566
LOC106506356,-0.16458085370035383
LOC110259875,-0.19951290575003372
LOC110259878,-0.0477075673701521
PACRG,-0.008803938504496709
PRKN,-0.1565870598112783
LOC110256593,0.2386208514508552
AGPAT4,-0.11242042910743187
MAP3K4,-0.08361627499388011
PLG,-0.07240750043564109
SLC22A3,-0.1423525256017822
LOC106508794,-0.18647173077850207
SLC22A2,-0.14536411310525138
LOC102165795,-0.1274540118233628
SLC22A1,-0.12745401182336283
IGF2R,0.0444584759310461
LOC102166961,-0.10562737294314394
PNLDC1,-0.13764278261317897
MRPL18,-0.10644016549488151
TCP1,-0.24366181325014402
ACAT2,0.09878094217487823
WTAP,0.014976876539674895
LOC102157641,-0.10239971273903933
SOD2,-0.09970119473891065
FNDC1,0.03360306159227766
LOC110259896,0.04369658202861573
LOC102158235,-0.06738713526854782
LOC106508800,-0.1660552649197339
TAGAP,-0.14497395220106424
RSPH3,0.15530159065801086
LOC100521937,0.16624654272594652
EZR,0.1532362528266587
SYTL3,-0.161300168972132
LOC110259902,-0.06545215621023277
DYNLT1,0.0693990704466283
TMEM181,-0.048967421889986915
TULP4,-0.06958251721036866
GTF2H5,-0.04863002957253499
SERAC1,-0.12352322381006878
LOC110259904,-0.04775822046797854
LOC110259908,-0.18289080582013229
SYNJ2,-0.20242033329401596
LOC110259909,0.23347313287832513
LOC106506437,0.2233879960015066
SNX9,0.16296031330233973
LOC110259393,-0.09511484227501911
LOC106506439,0.22043208464844355
LOC110259912,-0.09540526153443527
ZDHHC14,0.06699111275450784
TMEM242,-0.06968676144575058
LOC100153697,0.005629919139175404
LOC110259919,-0.14515408172087405
ARID1B,-0.2038078678209419
LOC110259923,-0.16517106265517767
LOC102161179,-0.029007529608822965
NOX3,-0.12558623172711325
TFB1M,0.13712796287906898
CLDN20,-2.748831739664758e-32
LOC106508808,-0.15865239665001404
TIAM2,-0.22552193478707738
SCAF8,-0.15495306788184943
LOC110256595,-0.06882756801768111
CNKSR3,-0.05496467428331182
LOC110259934,-0.04775822046797854
IPCEF1,-0.12474856312961599
RGS17,-0.04652135331460321
MTRF1L,-0.15178121040133402
FBXO5,0.047634951497854836
VIP,-0.07300924244233273
MYCT1,-0.021226433767846165
SYNE1,-0.08392732873764833
ESR1,-0.16443576058121007
CCDC170,-0.0502874835898182
ARMT1,0.16198538608143898
RMND1,0.06627404998416425
ZBTB2,-0.0433083440813805
AKAP12,-0.0967914240854101
LOC106508814,-0.09861634682216412
MTHFD1L,0.0997082499395973
PLEKHG1,0.0519811326816669
IYD,0.053311661505650684
LOC106508815,-2.748831739664758e-32
LOC106508816,-0.1386671970514474
PPP1R14C,-0.1310765849357904
LOC102166801,0.004042860811699299
LOC100521647,-0.1964078367447666
LOC100521998,0.11646943612335736
LOC106508817,-0.07326663676362269
ULBP1,-0.051454613539158055
LRP11,-0.12030368566070981
PCMT1,0.11354548414640292
NUP43,-0.05982377435402899
LATS1,-0.21417138142857145
KATNA1,0.14102194621908581
GINM1,-0.20918273156772066
PPIL4,-0.12737023211476184
ZC3H12D,0.10428337020446796
LOC110259956,-0.04857619837377673
TAB2,-0.05303648397615958
LOC106508820,-0.14465983091376672
LOC102159681,-0.16542544300594583
UST,-0.12348012033740544
SASH1,-0.0705513006891222
LOC106508822,0.19718192889222164
SAMD5,0.06921719505401426
LOC110256596,-0.047234910831505925
STXBP5,-0.13038519028774392
LOC102160169,-0.22315680244801567
ADGB,-0.10025193493601907
RAB32,0.18959419959394241
GRM1,0.16774555825272106
SHPRH,-0.2553830240493057
FBXO30,-0.14273114816783847
EPM2A,-0.14545797166802085
UTRN,-0.10876195600800244
LOC106506455,-0.14518719885561931
TRNAL-UAA,-2.748831739664758e-32
STX11,0.0334822113604799
SF3B5,-0.19224490309950837
PLAGL1,-0.18045883670781615
ZC2HC1B,-0.12745401182336283
LTV1,-0.2299276397226943
PHACTR2,-0.011872101278062139
FUCA2,0.12190333187266598
PEX3,-0.1571177470592796
ADAT2,-0.11905094398655566
LOC110256604,-0.04775822046797854
AIG1,-0.20493509040241473
LOC102166818,0.014044358232522595
HIVEP2,-0.050203112533608325
ADGRG6,0.0024418487326760274
VTA1,-0.09839624898413288
NMBR,-0.13174204387242577
LOC106508831,-2.748831739664758e-32
LOC110259987,-0.07584324098923254
LOC102163845,-0.029007529608822965
CITED2,0.21017674252677215
TXLNB,-0.10262651286846905
HECA,0.17775217872647847
ABRACL,-0.05919628763950606
LOC110259990,-0.2507326204528473
REPS1,-0.15743256018616394
ECT2L,0.18169997741565463
CCDC28A,-0.046309992079575604
NHSL1,0.15572857636194154
HEBP2,0.014744832245177086
LOC100154647,-0.04775822046797854
ARFGEF3,-0.07056825326441367
PERP,0.026748881061375074
TNFAIP3,-0.008785479494972243
LOC100621792,-0.075266861145171
LOC106508840,-0.05145461353915805
LOC102167333,-0.06026207839597944
IFNGR1,-0.15457005757577144
IL22RA2,-0.017580380798724995
IL20RA,-0.11649172230965799
SLC35D3,-0.16928105435781082
PEX7,0.08867072929364438
LOC106508844,-0.02801469869099695
MAP3K5,0.06020822524873169
MAP7,-0.0855920637554892
LOC110256640,-0.16404014394617583
LOC106506526,-0.11267571513002964
BCLAF1,-0.2310345351657746
MTFR2,0.008651293625309885
PDE7B,0.01090429542158737
LOC106504354,-2.748831739664758e-32
AHI1,-0.11434104670725702
