,X1_metaB_tissue
RP_pos_55_05421a1_747,-0.01967466915623948
RP_pos_76_03914a3_588,0.03478318898058125
RP_pos_83_0493a1_747,-0.028924236086838702
RP_pos_86_09598a1_295,-0.060782066815636256
RP_pos_87_04367a2_047,-0.09650995816856531
RP_pos_87_04401a1_656,-0.06629304009685232
RP_pos_90_50712a11_294,-0.06965189436643524
RP_pos_100_07609a1_972,0.065860096056888
RP_pos_100_11184a2_504,-0.03864247672300094
RP_pos_103_0755a4_824,0.010475977850229124
RP_pos_105_03348a3_206,0.0761212605117294
RP_pos_105_06976a5_922,-0.08452105588704775
RP_pos_114_09134a2_966,-0.03306240852599778
RP_pos_117_03687a3_973,-0.01032678001366992
RP_pos_118_08601a1_107,0.021871688816651837
RP_pos_118_10083a15_397,0.009363777721547135
RP_pos_119_07063a1_75,-0.01903587539044165
RP_pos_119_08566a5_087,-0.035193818668617406
RP_pos_120_08131a1_905,-0.016491329097088857
RP_pos_121_06476a4_261,0.007696367733885518
RP_pos_122_05775a1_968,0.08822474840007012
RP_pos_125_05977a3_57,-0.10560382198229118
RP_pos_127_03886a9_251,0.045976163687091974
RP_pos_127_03926a2_49,-0.03714786575752662
RP_pos_130_1225a2_667,0.0018951512356481575
RP_pos_130_15897a2_875,0.06271676269199815
RP_pos_131_08545a4_278,-0.018901101207773864
RP_pos_132_06535a1_184,0.06318439235967839
RP_pos_132_10178a1_298,-0.05836538340852348
RP_pos_134_06004a4_145,-0.03485269417412475
RP_pos_136_06174a1_393,0.07477165932118306
RP_pos_136_07314a2_968,-0.023896900184792094
RP_pos_137_04587a1_45,-0.010521018451459158
RP_pos_137_04613a1_305,0.001705368034080482
RP_pos_137_05977a4_902,0.042971285237280374
RP_pos_137_05988a4_227,0.0036359475162026766
RP_pos_137_07156a1_928,-0.011697716815770049
RP_pos_138_0551a2_014,-0.07088988297263282
RP_pos_143_07028a4_295,-0.05520178278533216
RP_pos_143_07037a3_569,-0.11036859257328939
RP_pos_146_05972a3_873,-0.0858643818610839
RP_pos_146_0602a4_511,-0.08717772306678408
RP_pos_146_06052a2_301,-0.042894365057727764
RP_pos_146_11748a2_202,-0.03799282866178773
RP_pos_146_11749a2_497,-0.03827080449567655
RP_pos_151_05771a3_251,0.023929388592283003
RP_pos_152_05714a1_446,-0.022372337970193116
RP_pos_154_04996a2_183,0.051058536404044876
RP_pos_155_07036a2_437,-0.07454947630170568
RP_pos_155_10638a5_121,-0.09287019814200727
RP_pos_155_10654a6_294,-0.03308053296576569
RP_pos_155_10672a7_724,-0.0046472727016216
RP_pos_157_0611a6_535,-0.003002563593321665
RP_pos_157_0862a4_65,-0.0846947887957927
RP_pos_157_12236a6_326,-0.07093565388545618
RP_pos_158_1181a2_993,-0.035083017096241655
RP_pos_158_15381a7_323,0.06450715320938048
RP_pos_159_11719a5_01,-0.06986722047590468
RP_pos_159_14922a1_214,-0.0038830039297238477
RP_pos_160_13329a3_922,-0.015064254621784977
RP_pos_161_10741a2_498,-0.09700887543083359
