,Z1
LOC100125545,0.5897514499905074
TBP,-0.7202717263330773
PSMB1,-0.4992107029169458
FAM120B,-0.3680029314774089
DLL1,-0.11724544651534885
LOC110259814,-0.3411895565640104
LOC106508781,-0.19110259656050083
LOC110259815,-0.5995339374531685
LOC110259816,0.02743083024776144
ERMARD,0.531707162474687
PHF10,-0.5003884252955108
C1H6orf120,-0.7159890640511521
WDR27,0.2602055050215323
THBS2,0.6919354271495919
LOC110259818,-0.07742519956698923
MIR9815,0.5456845215923973
SMOC2,-0.07319312406439403
LOC110259819,-0.3033337301351248
DACT2,0.16974723490967236
FRMD1,-0.3463969533654503
KIF25,0.28385345837788456
AFDN,-0.7304695992408621
MIR9824,-0.19110259656050083
LOC102166504,-0.3434267174891875
LOC106506295,0.6183410956321854
LOC106506286,0.21923062402871027
UNC93A,-0.022442271132909364
TCP10L2,0.6962634214002464
GPR31,0.6344447201244767
CCR6,0.4944371419821155
FGFR1OP,-0.1656056106396247
LOC102157461,0.4631214012476139
RNASET2,0.24854597894579097
RPS6KA2,-0.5405141894171139
MPC1,-0.6221387596559773
SFT2D1,0.45107901086123126
PRR18,-0.17855364495406822
LOC102157949,0.3793148490231437
LOC110259852,0.4416680811666077
LOC110256592,0.3399008639406497
MIR9831,-2.0052555398326342e-31
PDE10A,0.482632123147513
C1H6orf118,-2.0052555398326342e-31
LOC106508791,-0.21238752043443687
LOC102165158,0.6183410956321855
LOC102165231,0.5749630930374813
LOC110259867,-0.30148735005029587
QKI,0.6380598509389895
LOC106506356,0.4916905735242942
LOC110259875,0.2755621514189568
LOC110259878,-0.5095829871484286
PACRG,-0.21238752043443695
PRKN,0.2332703143248339
LOC110256593,0.45541748682287037
AGPAT4,-0.4374156579095373
MAP3K4,0.6406162806911132
PLG,-0.2173155069276182
SLC22A3,-0.16664534514723112
LOC106508794,0.3701244693526726
SLC22A2,0.49037416659477046
LOC102165795,0.6183410956321853
SLC22A1,0.6183410956321854
IGF2R,-0.6922031804987709
LOC102166961,0.47995494554503587
PNLDC1,0.5935525238792786
MRPL18,-0.6455054885599047
TCP1,-0.21618721036076555
ACAT2,-0.2087769725308417
WTAP,-0.08476831591919523
LOC102157641,-0.15049066561272376
SOD2,-0.5755731665540738
FNDC1,0.6311536990817943
LOC110259896,-0.3033337301351249
LOC102158235,-0.16323829954526392
LOC106508800,0.14014047145772315
TAGAP,0.3697604646436326
RSPH3,-0.21130134841211937
LOC100521937,0.3059303846824346
EZR,-0.2803574764129845
SYTL3,-0.28897878631052865
LOC110259902,-0.15360024536492264
DYNLT1,0.20877847364436578
TMEM181,-0.6211054737748005
TULP4,-0.7695364168872858
GTF2H5,0.5634824670113163
SERAC1,0.5372967015659222
LOC110259904,-0.1911025965605008
LOC110259908,0.24253042409671235
SYNJ2,-0.3498841100620015
LOC110259909,0.42775729922774186
LOC106506437,0.40754877463589007
SNX9,-0.14713820855745685
LOC110259393,-0.21666622122686252
LOC106506439,0.04453528685504443
LOC110259912,-0.37593859009836905
ZDHHC14,0.6464218718722505
TMEM242,0.24896503476741091
LOC100153697,-0.3127238895739311
LOC110259919,0.5201141199553796
ARID1B,0.3282049207594273
LOC110259923,0.4685497434466453
LOC102161179,-0.2893688738071099
NOX3,0.3378304687261046
TFB1M,0.22268170633497913
CLDN20,-2.0052555398326342e-31
LOC106508808,-0.10978676473380614
TIAM2,0.23184833273468614
SCAF8,-0.33178396301292257
LOC110256595,-0.17094675386638256
CNKSR3,0.2884492252273822
LOC110259934,-0.19110259656050083
IPCEF1,-0.1305624937546975
RGS17,0.16385962231099746
MTRF1L,-0.5058740940253934
FBXO5,-0.29508352206778166
VIP,0.5841718236404304
MYCT1,0.7058286752731416
SYNE1,0.49436975985133863
ESR1,0.06237301509235557
CCDC170,0.4397317729065458
ARMT1,0.1180303919958634
RMND1,-0.18984981837880016
ZBTB2,0.7677292204235528
AKAP12,0.5768063109007407
LOC106508814,-0.5804471728533172
MTHFD1L,0.72285178635768
PLEKHG1,0.8008104614194291
IYD,-0.4934919061446626
LOC106508815,-2.0052555398326342e-31
LOC106508816,0.588992251120131
PPP1R14C,-0.07269874496543102
LOC102166801,-0.0751153296000316
LOC100521647,-0.5931610521358708
LOC100521998,0.40907514074628637
LOC106508817,-0.37247776544000544
ULBP1,-0.28950953575800387
LRP11,0.42478093104233733
PCMT1,-0.13944067494613266
NUP43,0.6907522217041533
LATS1,-0.03112268347035385
KATNA1,-0.19795072342429945
GINM1,-0.22255747046190444
PPIL4,0.031794827069488024
ZC3H12D,0.021538906798807655
LOC110259956,-0.4121222419611059
TAB2,0.2698512957074979
LOC106508820,0.45857553195433065
LOC102159681,0.45284120579995873
UST,-0.05358882143850957
SASH1,-0.20805149555133162
LOC106508822,-0.1064432654612556
SAMD5,0.6988161164393057
LOC110256596,-0.3066090758118092
STXBP5,0.47103629114599965
LOC102160169,0.13909618087782433
ADGB,0.2457935980934221
RAB32,-0.05063157464097706
GRM1,0.553146942106413
SHPRH,-0.13062656932311645
FBXO30,0.45408021385286257
EPM2A,-0.08634279591858987
UTRN,0.5369993899397318
LOC106506455,0.30959346475795335
TRNAL-UAA,-2.0052555398326342e-31
STX11,-0.195908176109003
SF3B5,0.014399160025073798
PLAGL1,0.22460981484897427
ZC2HC1B,0.6183410956321854
LTV1,-0.1601696051485374
PHACTR2,0.7908259586515736
FUCA2,-0.09763180851894446
PEX3,0.2582386210853296
ADAT2,0.40417406158497216
LOC110256604,-0.1911025965605008
AIG1,0.16703646368013625
LOC102166818,0.236659758105001
HIVEP2,0.5219363763487574
ADGRG6,-0.678165032252577
VTA1,-0.6612181101323504
NMBR,0.34874273635947345
LOC106508831,-2.0052555398326342e-31
LOC110259987,-0.3776938905699996
LOC102163845,-0.2893688738071099
CITED2,0.4233186211409816
TXLNB,-0.3815755867633181
HECA,-0.23605517422359923
ABRACL,0.4665228808659133
LOC110259990,-0.1825462484713295
REPS1,-0.4517782149223925
ECT2L,-0.07231218671229284
CCDC28A,-0.26007172818686974
NHSL1,-0.07204017456067022
HEBP2,0.5880240742094143
LOC100154647,-0.1911025965605008
ARFGEF3,-0.35603457368987423
PERP,0.11746128362396395
TNFAIP3,-0.2936877491304274
LOC100621792,-0.37699491809611696
LOC106508840,-0.2895095357580039
LOC102167333,-0.49603838121332855
IFNGR1,-0.42784726765141334
IL22RA2,-0.5474699579048983
IL20RA,-0.6598487470654081
SLC35D3,0.1735128384663146
PEX7,-0.3710086395116993
LOC106508844,0.5319142836135523
MAP3K5,0.7923889400724851
MAP7,-0.5758534773017704
LOC110256640,0.3411407055023958
LOC106506526,-0.5400885744198697
BCLAF1,0.17986274891967047
MTFR2,-0.3327345119216294
PDE7B,0.564981643585652
LOC106504354,-2.0052555398326342e-31
AHI1,0.6052131820016512
LOC110260025,0.3661350964144964
MYB,-0.1792882329757885
HBS1L,0.3094140045756579
ALDH8A1,-2.0052555398326342e-31
LOC110260031,0.0739960201884858
LOC110260032,-0.09289009481761673
SGK1,0.1162053053756984
SLC2A12,0.4725548848196549
TBPL1,-0.02184135098705209
TCF21,0.4299537672671823
EYA4,-0.5318541294568693
LOC106507477,0.3628191407665532
LOC102166614,0.801347313825032
RPS12,0.5252490414835691
SLC18B1,-0.15873094894272058
VNN2,-0.343341032568891
VNN3,-0.332579762785852
VNN1,0.19134063361119308
TAAR1,-0.08873106513706597
STX7,0.36345957477823654
LOC110260060,0.4515138505491003
MOXD1,0.7048967234833304
CTGF,0.47730877658809734
ENPP1,0.6976511517505173
ENPP3,-0.05322296991760761
MED23,0.6860551107710399
ARG1,-0.27214705838828845
LOC106508846,-2.0052555398326342e-31
AKAP7,0.7201621735621552
LOC106508847,0.42193676773785205
EPB41L2,0.21018614882758008
SMLR1,0.12642539144676299
TMEM200A,0.3941311820677754
SAMD3,0.4043888743667113
L3MBTL3,0.5701096101981259
TMEM244,0.359365559986637
ARHGAP18,-0.25087790154986395
LOC106508849,0.07737953383619911
LAMA2,0.7466448107189461
LOC110260185,-0.19110259656050083
PTPRK,0.7321393036004609
LOC110256645,-0.22477036695629987
THEMIS,-0.4633477854746616
LOC100512146,-0.06477198603663523
SOGA3,-0.3033337301351249
KIAA0408,0.5990925860403736
ECHDC1,0.533930998465685
RNF146,-0.6259231874698059
RSPO3,0.11939706389302757
LOC110260187,0.7470151798064824
CENPW,-0.07070007713604487
LOC106508854,0.7593752882171964
TRMT11,0.21493489217522482
HINT3,-0.2008137158250743
NCOA7,0.004367368464453514
LOC110260188,0.3011988572130672
HEY2,0.5232660020564714
LOC110260189,0.26226582107669577
HDDC2,0.6019202481998192
TPD52L1,0.02851380133041076
RNF217,0.8074032779880861
NKAIN2,0.28923961445645907
LOC106508857,0.7886266850068983
TRDN,0.5665200499217043
LOC102166321,0.5665200499217043
CLVS2,0.4926732031373603
SMPDL3A,0.5174690182988457
FABP7,0.136573274816354
PKIB,0.7787383313866812
LOC102157594,-2.0052555398326342e-31
SERINC1,0.4387787530863353
HSF2,-0.09555185698654078
LOC110260218,0.6183410956321854
LOC102158650,-0.21238752043443695
GJA1,0.3848097486322949
TBC1D32,0.4896371471649814
LOC106507559,-0.07742519956698926
MAN1A1,0.7137012890882362
FAM184A,-0.3033337301351248
MCM9,0.5035806954705826
ASF1A,-0.5619062031064963
LOC110260244,0.3903735451237004
LOC110260246,0.7753202296795193
CEP85L,-0.32117896010714414
PLN,0.4735797405189357
SLC35F1,0.29460017095105173
LOC110260250,0.5929926180953622
NUS1,0.3767019062172515
LOC100520342,-0.289509535758004
GOPC,-0.5360069925346352
DCBLD1,-0.7641464508625744
ROS1,0.028977154708649783
LOC110260270,-2.0052555398326342e-31
VGLL2,-0.2953606976263092
RFX6,-0.20807198516741585
LOC110260274,0.032480297607009295
GPRC6A,-2.0052555398326342e-31
FAM162B,0.7162841729490181
LOC100523874,0.45386477116281543
KPNA5,0.0314391354154972
ZUFSP,0.42469484631323573
RSPH4A,-2.0052555398326342e-31
LOC102160776,-0.3810326226676919
LOC106508867,-0.38582880960381893
LOC102161201,0.01341731779904487
PTP4A1,-0.5371642127336391
PHF3,-0.7263888627522723
EYS,0.3974982958790311
LOC106508869,0.5544402312476295
LOC110259411,-0.19110259656050077
LOC110256955,0.5357912918703459
LMBRD1,-0.16288754229621685
LOC110260294,-2.0052555398326342e-31
COL19A1,-0.11486695542379327
COL9A1,0.6145877036867072
FAM135A,-0.14892269570627606
SMAP1,-0.7206297789870353
B3GAT2,-0.27250808338366783
OGFRL1,-0.4693716593157502
LOC102157778,-0.5477484902590734
MIR30C-2,-0.07742519956698923
MIR30A,0.33530810167124947
RIMS1,0.7855529782765811
LOC106508874,0.4554174868228703
KCNQ5,-0.037258348160012555
LOC100511846,-0.4765796453427701
DPPA5,0.6183410956321854
KHDC3L,-2.0052555398326342e-31
DDX43,-0.1911025965605008
LOC100622980,0.35174752575648505
MRAP2,0.12463185757774954
CEP162,0.5375738819571092
TBX18,-0.5406635968301567
LOC102157437,0.45013138281306403
NT5E,0.7949535323542942
SNX14,0.5361878199148721
SYNCRIP,0.16889624934073688
HTR1E,-0.21238752043443693
LOC100151959,-0.22141935388382666
CGA,-0.4928945344832138
ZNF292,0.2866077029560425
GJB7,-0.19110259656050077
SMIM8,0.17043202618602776
C1H6orf163,0.45541748682287037
CFAP206,0.27578747706439577
SLC35A1,0.019987189080636958
RARS2,-0.06313819086291003
ORC3,0.6858540397537938
AKIRIN2,0.06917137736431045
SPACA1,-0.07742519956698923
CNR1,0.032664864589792064
LOC100739087,0.5551956570084946
RNGTT,-0.10057856271218105
LOC110260329,-0.19110259656050083
PNRC1,0.535235874288888
SRSF12,0.5086887160460714
PM20D2,0.09160853203298064
GABRR1,-0.3902005943787675
GABRR2,0.29884420929672345
UBE2J1,-0.5033992277000323
RRAGD,-0.4034125395870773
ANKRD6,0.6987795587761525
LYRM2,0.4122828359972901
MDN1,0.17963216439568636
CASP8AP2,-0.5177875315150018
GJA10,-0.5323341505809659
BACH2,-0.32521055734798765
LOC110260365,-0.3067458588504053
LOC102157779,-0.3033337301351249
MAP3K7,-0.2874049875133108
LOC106508895,-0.3801935814809462
EPHA7,-0.042714580346379316
LOC106508897,-2.0052555398326342e-31
LOC110260379,0.59252842027565
MANEA,-0.033963855823376604
LOC110260380,-0.19110259656050077
UFL1,-0.10047159673336381
FHL5,0.5430919014175818
GPR63,-0.49166619591470223
NDUFAF4,-0.39025911540083663
LOC110260384,-0.21238752043443693
KLHL32,0.11663508784323723
MMS22L,0.7471368578912998
LOC102160801,0.5193907964293172
LOC106508906,0.6157820650764494
POU3F2,0.8320431750322861
FBXL4,0.6154716626387925
FAXC,0.24848508432758404
COQ3,0.5978716638056311
PNISR,0.3216214950285135
USP45,-0.5331781866513626
TSTD3,-0.2019509086886213
CCNC,0.5455338401674891
PRDM13,-2.0052555398326342e-31
SIM1,0.2987857038968388
ASCC3,0.27317104280073684
LOC110260404,-0.19110259656050083
GRIK2,0.6975694556830598
LOC110260405,-2.0052555398326342e-31
HACE1,0.17294515626834206
BVES,0.2305369201412113
LOC106508909,-0.19110259656050083
POPDC3,0.7780322709133041
PREP,0.009804577439658978
LOC110260407,-2.0052555398326342e-31
LOC110260408,0.7372907894017476
PRDM1,-0.12815916971285113
ATG5,-0.5797342434448443
LOC110259431,-0.030300469542538122
CRYBG1,-0.13603532011428932
RTN4IP1,0.3506070474160786
QRSL1,0.4091361761611118
LOC110260421,-0.21238752043443693
LOC100519934,-0.18265972727845967
LOC100521350,0.25615044414826527
C1H6orf203,-0.1943286417534588
BEND3,0.5655882798402815
PDSS2,0.006391989672356907
LOC102159561,0.5415844197253331
LOC110260430,0.6183410956321854
SOBP,0.7964101473195122
LOC102159995,0.472544421952073
