"","label","MAG","domain","phylum","class","order","family","genus","species","lowest","mag_length","completeness","log2FoldChange_diet","padj_diet","baseMean_diet","log2FoldChange_devstage","padj_devstage","baseMean_devstage","significant_diet","significant_devstage","direction_diet","direction_devstage","diet","dev_stage","metaT_diet","metaT_devstage"
"1","TC3_40:bin_000165","MAG311","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex sp022788185","s__Bullifex sp022788185",2438113,0.996328718152112,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",121.756677990006,43.1601507643787
"2","TC3_40:bin_000165","MAG311","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex sp022788185","s__Bullifex sp022788185",2438113,0.996328718152112,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",121.756677990006,78.5965272256271
"3","TC3_40:bin_000165","MAG311","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex sp022788185","s__Bullifex sp022788185",2438113,0.996328718152112,NA,NA,NA,NA,NA,NA,"","","","","control","control",87.4879402659417,87.4879402659417
"4","TC3_40:bin_000127","MAG301","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex porci","s__Bullifex porci",2468827,0.975314997770196,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",143.458141031521,58.5079384494888
"5","TC3_40:bin_000127","MAG301","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex porci","s__Bullifex porci",2468827,0.975314997770196,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",143.458141031521,84.9502025820325
"6","TC3_40:bin_000127","MAG301","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Bullifex","Bullifex porci","s__Bullifex porci",2468827,0.975314997770196,NA,NA,NA,NA,NA,NA,"","","","","control","control",92.1895923975379,92.1895923975379
"7","TC3_40:bin_000125","MAG299","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (2)",2067054,0.992591872297482,NA,NA,NA,-4.27753141967191,0.0259871468784949,17855.9359316815,"","*","","post-weaning","AcGGM","pre-weaning",136.556046884845,47.9131283208394
"8","TC3_40:bin_000125","MAG299","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (2)",2067054,0.992591872297482,NA,NA,NA,-4.27753141967191,0.0259871468784949,17855.9359316815,"","*","","post-weaning","AcGGM","post-weaning",136.556046884845,88.6429185640052
"9","TC3_40:bin_000125","MAG299","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (2)",2067054,0.992591872297482,NA,NA,NA,-4.27753141967191,0.0259871468784949,17855.9359316815,"","*","","post-weaning","control","control",91.7727008006267,91.7727008006267
"10","D300050:bin_000052","MAG078","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022771185","s__Ornithospirochaeta sp022771185",2441422,0.999132882393949,NA,NA,NA,-6.83239552437448,1.19382293319714e-07,70612.631679035,"","*","","post-weaning","AcGGM","pre-weaning",140.394376762413,43.7947958569213
"11","D300050:bin_000052","MAG078","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022771185","s__Ornithospirochaeta sp022771185",2441422,0.999132882393949,NA,NA,NA,-6.83239552437448,1.19382293319714e-07,70612.631679035,"","*","","post-weaning","AcGGM","post-weaning",140.394376762413,96.5995809054913
"12","D300050:bin_000052","MAG078","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022771185","s__Ornithospirochaeta sp022771185",2441422,0.999132882393949,NA,NA,NA,-6.83239552437448,1.19382293319714e-07,70612.631679035,"","*","","post-weaning","control","control",105.065189628512,105.065189628512
"13","TC3_40:bin_000214","MAG327","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp016302165","s__Ornithospirochaeta sp016302165",2044730,0.965717234060243,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",135.83196730523,50.9885200368824
"14","TC3_40:bin_000214","MAG327","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp016302165","s__Ornithospirochaeta sp016302165",2044730,0.965717234060243,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",135.83196730523,84.8434472683481
"15","TC3_40:bin_000214","MAG327","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp016302165","s__Ornithospirochaeta sp016302165",2044730,0.965717234060243,NA,NA,NA,NA,NA,NA,"","","","","control","control",81.0003752917731,81.0003752917731
"16","D300038:bin_000037","MAG011","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022785155","s__Ornithospirochaeta sp022785155",2515257,0.999861246783132,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",157.253343851252,55.8748052807549
"17","D300038:bin_000037","MAG011","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022785155","s__Ornithospirochaeta sp022785155",2515257,0.999861246783132,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",157.253343851252,101.378538570497
"18","D300038:bin_000037","MAG011","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022785155","s__Ornithospirochaeta sp022785155",2515257,0.999861246783132,NA,NA,NA,NA,NA,NA,"","","","","control","control",95.266207186195,95.266207186195
"19","D300057:bin_000028","MAG118","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (1)",2650426,0.99506343508553,NA,NA,NA,-7.25102892781949,2.56981307308516e-09,73196.6660339945,"","*","","post-weaning","AcGGM","pre-weaning",151.584014432865,48.1029431021695
"20","D300057:bin_000028","MAG118","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (1)",2650426,0.99506343508553,NA,NA,NA,-7.25102892781949,2.56981307308516e-09,73196.6660339945,"","*","","post-weaning","AcGGM","post-weaning",151.584014432865,103.481071330695
"21","D300057:bin_000028","MAG118","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (1)",2650426,0.99506343508553,NA,NA,NA,-7.25102892781949,2.56981307308516e-09,73196.6660339945,"","*","","post-weaning","control","control",101.616707713091,101.616707713091
"22","D300048:bin_000018","MAG062","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp900769985","s__Treponema_D sp900769985",2626540,0.99999885781294,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",146.160288441014,55.385751275385
"23","D300048:bin_000018","MAG062","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp900769985","s__Treponema_D sp900769985",2626540,0.99999885781294,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",146.160288441014,90.7745371656292
"24","D300048:bin_000018","MAG062","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp900769985","s__Treponema_D sp900769985",2626540,0.99999885781294,NA,NA,NA,NA,NA,NA,"","","","","control","control",80.1294691242836,80.1294691242836
"25","D300050:bin_000040","MAG076","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D porcinum","s__Treponema_D porcinum",2295531,0.999997821854726,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",123.093460219293,44.9661480228575
"26","D300050:bin_000040","MAG076","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D porcinum","s__Treponema_D porcinum",2295531,0.999997821854726,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",123.093460219293,78.1273121964352
"27","D300050:bin_000040","MAG076","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D porcinum","s__Treponema_D porcinum",2295531,0.999997821854726,NA,NA,NA,NA,NA,NA,"","","","","control","control",80.5649818141699,80.5649818141699
"28","D300065:bin_000041","MAG176","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp016293005","s__Treponema_D sp016293005",2277501,0.99970889145603,-3.76754659566925,0.0414134339979375,748.889980696171,NA,NA,NA,"*","","control","","AcGGM","pre-weaning",100.137245260926,37.9669545155753
"29","D300065:bin_000041","MAG176","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp016293005","s__Treponema_D sp016293005",2277501,0.99970889145603,-3.76754659566925,0.0414134339979375,748.889980696171,NA,NA,NA,"*","","control","","AcGGM","post-weaning",100.137245260926,62.1702907453506
"30","D300065:bin_000041","MAG176","Bacteria","Spirochaetota","Spirochaetia","Treponematales","Treponemataceae","Treponema","Treponema_D sp016293005","s__Treponema_D sp016293005",2277501,0.99970889145603,-3.76754659566925,0.0414134339979375,748.889980696171,NA,NA,NA,"*","","control","","control","control",68.9038635779605,68.9038635779605
"31","TC3_40:bin_000197","MAG321","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","UBA1829","UBA11452","UBA11452 sp003526375","s__UBA11452 sp003526375",4153901,0.956280132819728,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",118.578169298035,44.2515284222443
"32","TC3_40:bin_000197","MAG321","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","UBA1829","UBA11452","UBA11452 sp003526375","s__UBA11452 sp003526375",4153901,0.956280132819728,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",118.578169298035,74.3266408757907
"33","TC3_40:bin_000197","MAG321","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","UBA1829","UBA11452","UBA11452 sp003526375","s__UBA11452 sp003526375",4153901,0.956280132819728,NA,NA,NA,NA,NA,NA,"","","","","control","control",85.791866976574,85.791866976574
"34","D300068:bin_000014","MAG187","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp945874155","s__Cryptobacteroides sp945874155",2229334,0.999969049052318,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",165.728191681753,62.9897669270779
"35","D300068:bin_000014","MAG187","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp945874155","s__Cryptobacteroides sp945874155",2229334,0.999969049052318,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",165.728191681753,102.738424754675
"36","D300068:bin_000014","MAG187","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp945874155","s__Cryptobacteroides sp945874155",2229334,0.999969049052318,NA,NA,NA,NA,NA,NA,"","","","","control","control",109.308679327506,109.308679327506
"37","D300065:bin_000021","MAG171","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004552115","s__Cryptobacteroides sp004552115",2250061,0.999370239295735,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",177.980925872779,71.2961131170462
"38","D300065:bin_000021","MAG171","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004552115","s__Cryptobacteroides sp004552115",2250061,0.999370239295735,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",177.980925872779,106.684812755733
"39","D300065:bin_000021","MAG171","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004552115","s__Cryptobacteroides sp004552115",2250061,0.999370239295735,NA,NA,NA,NA,NA,NA,"","","","","control","control",104.336121311658,104.336121311658
"40","D300053:bin_000040","MAG095","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004554455","s__Cryptobacteroides sp004554455",2091740,0.999812118140878,NA,NA,NA,-11.1870267958237,5.9944995595848e-10,786840.180427583,"","*","","post-weaning","AcGGM","pre-weaning",153.321679859369,46.8554830585448
"41","D300053:bin_000040","MAG095","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004554455","s__Cryptobacteroides sp004554455",2091740,0.999812118140878,NA,NA,NA,-11.1870267958237,5.9944995595848e-10,786840.180427583,"","*","","post-weaning","AcGGM","post-weaning",153.321679859369,106.466196800824
"42","D300053:bin_000040","MAG095","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004554455","s__Cryptobacteroides sp004554455",2091740,0.999812118140878,NA,NA,NA,-11.1870267958237,5.9944995595848e-10,786840.180427583,"","*","","post-weaning","control","control",116.276656107916,116.276656107916
"43","TC4_40:bin_000014","MAG343","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546925","s__Cryptobacteroides sp900546925",1977122,0.994383249996712,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",154.541665398509,65.5487282958591
"44","TC4_40:bin_000014","MAG343","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546925","s__Cryptobacteroides sp900546925",1977122,0.994383249996712,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",154.541665398509,88.9929371026502
"45","TC4_40:bin_000014","MAG343","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp900546925","s__Cryptobacteroides sp900546925",1977122,0.994383249996712,NA,NA,NA,NA,NA,NA,"","","","","control","control",88.459726435036,88.459726435036
"46","TC4_40:bin_000138","MAG370","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides",NA,"g__Cryptobacteroides",2655307,0.965649546361306,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","pre-weaning",144.428772718366,54.0745114215016
"47","TC4_40:bin_000138","MAG370","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides",NA,"g__Cryptobacteroides",2655307,0.965649546361306,NA,NA,NA,NA,NA,NA,"","","","","AcGGM","post-weaning",144.428772718366,90.3542612968644
