"","gene","gene_id","description","class","seq_type","chromosome","start_position","stop_position","feature_length","product_length","strand","locus_tag","note","genomic_accession","product_accession"
"1","LOC100125545",100125545,NA,"protein_coding","chromosome","1",18,3870,3853,NA,1,NA,NA,"NC_010443.5",NA
"2","TBP",110259740,NA,"protein_coding","chromosome","1",5669,23675,18007,NA,-1,NA,"partial","NC_010443.5",NA
"3","PSMB1",100621969,"proteasome subunit beta 1","protein_coding","chromosome","1",23827,40033,16207,NA,1,NA,NA,"NC_010443.5",NA
"4","LOC100624421",100624421,NA,"pseudogene","chromosome","1",111957,113643,1687,NA,-1,NA,"pseudo","NC_010443.5",NA
"5","FAM120B",100620583,NA,"protein_coding","chromosome","1",121143,186783,65641,NA,-1,NA,NA,"NC_010443.5",NA
"6","DLL1",100620481,NA,"protein_coding","chromosome","1",198815,211346,12532,NA,1,NA,NA,"NC_010443.5",NA
"7","LOC110259813",110259813,NA,"protein_coding","chromosome","1",224713,228650,3938,NA,-1,NA,NA,"NC_010443.5",NA
"8","LOC110259814",110259814,NA,"lncRNA","chromosome","1",285791,301054,15264,NA,1,NA,NA,"NC_010443.5",NA
"9","LOC106508781",106508781,NA,"lncRNA","chromosome","1",350322,352716,2395,NA,1,NA,NA,"NC_010443.5",NA
"10","LOC110259815",110259815,NA,"protein_coding","chromosome","1",379695,386482,6788,NA,-1,NA,NA,"NC_010443.5",NA
"11","LOC110259816",110259816,NA,"lncRNA","chromosome","1",393424,399529,6106,NA,1,NA,NA,"NC_010443.5",NA
"12","LOC110259817",110259817,NA,"lncRNA","chromosome","1",463328,466766,3439,NA,1,NA,NA,"NC_010443.5",NA
"13","ERMARD",100512199,NA,"protein_coding","chromosome","1",513364,540948,27585,NA,-1,NA,NA,"NC_010443.5",NA
"14","TCTE3",102162319,NA,"protein_coding","chromosome","1",541010,552018,11009,NA,1,NA,NA,"NC_010443.5",NA
"15","PHF10",100511109,NA,"protein_coding","chromosome","1",555649,576781,21133,NA,1,NA,NA,"NC_010443.5",NA
"16","C1H6orf120",100736828,NA,"protein_coding","chromosome","1",575718,578441,2724,NA,-1,NA,NA,"NC_010443.5",NA
"17","WDR27",100736968,NA,"protein_coding","chromosome","1",578491,720106,141616,NA,1,NA,NA,"NC_010443.5",NA
"18","THBS2",100153940,NA,"protein_coding","chromosome","1",854473,882467,27995,NA,1,NA,NA,"NC_010443.5",NA
"19","LOC110259818",110259818,NA,"lncRNA","chromosome","1",919549,926051,6503,NA,-1,NA,NA,"NC_010443.5",NA
"20","MIR9815",104796093,"microRNA 9815","miRNA","chromosome","1",1013707,1013802,96,NA,-1,NA,NA,"NC_010443.5",NA
"21","SMOC2",100737228,NA,"protein_coding","chromosome","1",1193163,1332739,139577,NA,-1,NA,NA,"NC_010443.5",NA
"22","LOC110259819",110259819,NA,"lncRNA","chromosome","1",1379907,1383541,3635,NA,1,NA,NA,"NC_010443.5",NA
"23","DACT2",100512933,NA,"protein_coding","chromosome","1",1413892,1424015,10124,NA,1,NA,NA,"NC_010443.5",NA
"24","FRMD1",100514201,NA,"protein_coding","chromosome","1",1507123,1521669,14547,NA,1,NA,NA,"NC_010443.5",NA
"25","KIF25",100514019,NA,"protein_coding","chromosome","1",1527425,1566107,38683,NA,-1,NA,NA,"NC_010443.5",NA
"26","AFDN",100514741,NA,"protein_coding","chromosome","1",1569652,1698475,128824,NA,-1,NA,NA,"NC_010443.5",NA
"27","MIR9824",104796099,"microRNA 9824","miRNA","chromosome","1",1665568,1665643,76,NA,-1,NA,NA,"NC_010443.5",NA
"28","LOC102166504",102166504,NA,"lncRNA","chromosome","1",1751921,1769373,17453,NA,1,NA,NA,"NC_010443.5",NA
"29","LOC106506295",106506295,NA,"lncRNA","chromosome","1",1814771,1815964,1194,NA,-1,NA,NA,"NC_010443.5",NA
"30","LOC106506286",106506286,NA,"protein_coding","chromosome","1",1816683,1835173,18491,NA,1,NA,NA,"NC_010443.5",NA
"31","LOC106506296",106506296,NA,"lncRNA","chromosome","1",1874425,1880729,6305,NA,1,NA,NA,"NC_010443.5",NA
"32","UNC93A",100514930,NA,"protein_coding","chromosome","1",1920736,1970090,49355,NA,1,NA,NA,"NC_010443.5",NA
"33","TTLL2",100626334,NA,"protein_coding","chromosome","1",1974295,1977836,3542,NA,1,NA,NA,"NC_010443.5",NA
"34","TCP10L2",102162648,NA,"protein_coding","chromosome","1",1982111,1999232,17122,NA,-1,NA,NA,"NC_010443.5",NA
"35","GPR31",106508604,NA,"protein_coding","chromosome","1",2002241,2008114,5874,NA,1,NA,NA,"NC_010443.5",NA
"36","CCR6",100624245,NA,"protein_coding","chromosome","1",2016600,2034172,17573,NA,-1,NA,NA,"NC_010443.5",NA
"37","FGFR1OP",100153548,NA,"protein_coding","chromosome","1",2093329,2120832,27504,NA,-1,NA,NA,"NC_010443.5",NA
"38","LOC102157461",102157461,NA,"lncRNA","chromosome","1",2120936,2128724,7789,NA,1,NA,NA,"NC_010443.5",NA
"39","RNASET2",100157985,NA,"protein_coding","chromosome","1",2146707,2164768,18062,NA,1,NA,NA,"NC_010443.5",NA
"40","RPS6KA2",100515286,NA,"protein_coding","chromosome","1",2203825,2522604,318780,NA,1,NA,NA,"NC_010443.5",NA
"41","MPC1",100513634,"mitochondrial pyruvate carrier 1","protein_coding","chromosome","1",2541475,2552864,11390,NA,1,NA,NA,"NC_010443.5",NA
"42","SFT2D1",100513321,"SFT2 domain containing 1","protein_coding","chromosome","1",2576815,2593516,16702,NA,1,NA,NA,"NC_010443.5",NA
"43","PRR18",100623263,NA,"protein_coding","chromosome","1",2600779,2604733,3955,NA,1,NA,NA,"NC_010443.5",NA
"44","LOC102157949",102157949,NA,"lncRNA","chromosome","1",2623516,2706416,82901,NA,1,NA,NA,"NC_010443.5",NA
"45","LOC110256928",110256928,NA,"pseudogene","chromosome","1",2709294,2710879,1586,NA,1,NA,"pseudo","NC_010443.5",NA
"46","T",397450,NA,"protein_coding","chromosome","1",2717165,2725561,8397,NA,1,NA,NA,"NC_010443.5",NA
"47","LOC110259852",110259852,NA,"lncRNA","chromosome","1",2775768,2782866,7099,NA,-1,NA,NA,"NC_010443.5",NA
"48","LOC110256592",110256592,NA,"protein_coding","chromosome","1",2826866,3040744,213879,NA,1,NA,NA,"NC_010443.5",NA
"49","MIR9831",104796103,"microRNA 9831","miRNA","chromosome","1",2893742,2893818,77,NA,1,NA,NA,"NC_010443.5",NA
"50","PDE10A",100154378,NA,"protein_coding","chromosome","1",3120418,3394236,273819,NA,1,NA,NA,"NC_010443.5",NA
"51","C1H6orf118",100157121,NA,"misc_RNA","chromosome","1",3403704,3426919,23216,NA,1,NA,NA,"NC_010443.5",NA
"52","LOC106508791",106508791,NA,"lncRNA","chromosome","1",3755907,3768854,12948,NA,1,NA,NA,"NC_010443.5",NA
"53","LOC102165158",102165158,NA,"lncRNA","chromosome","1",4252969,4263990,11022,NA,1,NA,NA,"NC_010443.5",NA
"54","LOC102165231",102165231,NA,"lncRNA","chromosome","1",4320925,4324308,3384,NA,1,NA,NA,"NC_010443.5",NA
"55","LOC110256930",110256930,NA,"lncRNA","chromosome","1",4602324,4605142,2819,NA,-1,NA,NA,"NC_010443.5",NA
"56","LOC110259867",110259867,NA,"lncRNA","chromosome","1",4607518,4625613,18096,NA,-1,NA,NA,"NC_010443.5",NA
"57","QKI",492277,"QKI, KH domain containing RNA binding","protein_coding","chromosome","1",4732575,4883386,150812,NA,-1,NA,NA,"NC_010443.5",NA
"58","LOC106506356",106506356,NA,"lncRNA","chromosome","1",4888484,4896318,7835,NA,1,NA,NA,"NC_010443.5",NA
"59","LOC110259875",110259875,NA,"lncRNA","chromosome","1",4915995,4922261,6267,NA,1,NA,NA,"NC_010443.5",NA
"60","LOC110259878",110259878,NA,"lncRNA","chromosome","1",4944881,4950274,5394,NA,1,NA,NA,"NC_010443.5",NA
"61","PACRG",106506364,NA,"protein_coding","chromosome","1",4964686,5465258,500573,NA,-1,NA,NA,"NC_010443.5",NA
"62","LOC106508449",106508449,NA,"lncRNA","chromosome","1",5072128,5083744,11617,NA,1,NA,NA,"NC_010443.5",NA
"63","PRKN",733673,"parkin RBR E3 ubiquitin protein ligase","protein_coding","chromosome","1",5698508,6731132,1032625,NA,1,NA,"partial","NC_010443.5",NA
"64","LOC110256593",110256593,NA,"lncRNA","chromosome","1",6124535,6138005,13471,NA,1,NA,NA,"NC_010443.5",NA
"65","LOC110256594",110256594,NA,"pseudogene","chromosome","1",6746588,6748970,2383,NA,1,NA,"pseudo","NC_010443.5",NA
"66","AGPAT4",100156632,"1-acylglycerol-3-phosphate O-acyltransferase 4","protein_coding","chromosome","1",6761734,6883555,121822,NA,1,NA,NA,"NC_010443.5",NA
"67","MAP3K4",100154202,NA,"protein_coding","chromosome","1",6891255,7049784,158530,NA,-1,NA,NA,"NC_010443.5",NA
"68","LOC106508795",106508795,NA,"lncRNA","chromosome","1",7058794,7061295,2502,NA,-1,NA,NA,"NC_010443.5",NA
"69","PLG",733660,"plasminogen","protein_coding","chromosome","1",7062399,7109521,47123,NA,1,NA,NA,"NC_010443.5",NA
"70","SLC22A3",100142677,NA,"protein_coding","chromosome","1",7105486,7207395,101910,NA,-1,NA,NA,"NC_010443.5",NA
"71","LOC106508794",106508794,NA,"lncRNA","chromosome","1",7207565,7216482,8918,NA,1,NA,NA,"NC_010443.5",NA
"72","SLC22A2",396936,"solute carrier family 22 (organic cation transporter), member 2","protein_coding","chromosome","1",7289278,7323418,34141,NA,1,NA,NA,"NC_010443.5",NA
"73","LOC102165795",102165795,NA,"lncRNA","chromosome","1",7306696,7309868,3173,NA,-1,NA,NA,"NC_010443.5",NA
"74","LOC110259889",110259889,NA,"lncRNA","chromosome","1",7339328,7340621,1294,NA,1,NA,NA,"NC_010443.5",NA
