"","contig","length"
"1","D300038:bin_000002@contig_00000068",7125
"2","D300038:bin_000002@contig_00000070",13322
"3","D300038:bin_000002@contig_00000084",6205
"4","D300038:bin_000002@contig_00000171",11244
"5","D300038:bin_000002@contig_00000215",53999
"6","D300038:bin_000002@contig_00000218",15220
"7","D300038:bin_000002@contig_00000753",7487
"8","D300038:bin_000002@contig_00000932",2963
"9","D300038:bin_000002@contig_00001170",3756
"10","D300038:bin_000002@contig_00001240",8281
"11","D300038:bin_000002@contig_00001280",3257
"12","D300038:bin_000002@contig_00001496",24614
"13","D300038:bin_000002@contig_00001676",6245
"14","D300038:bin_000002@contig_00001686",5228
"15","D300038:bin_000002@contig_00001907",4588
"16","D300038:bin_000002@contig_00002137",27129
"17","D300038:bin_000002@contig_00002343",1734
"18","D300038:bin_000002@contig_00002964",5550
"19","D300038:bin_000002@contig_00003239",53619
"20","D300038:bin_000002@contig_00003483",10880
"21","D300038:bin_000002@contig_00003713",9483
"22","D300038:bin_000002@contig_00004016",2222
"23","D300038:bin_000002@contig_00004168",11486
"24","D300038:bin_000002@contig_00004184",4358
"25","D300038:bin_000002@contig_00004686",47803
"26","D300038:bin_000002@contig_00004690",10836
"27","D300038:bin_000002@contig_00004709",1899
"28","D300038:bin_000002@contig_00004867",1996
"29","D300038:bin_000002@contig_00005023",2618
"30","D300038:bin_000002@contig_00005259",8566
"31","D300038:bin_000002@contig_00005500",12167
"32","D300038:bin_000002@contig_00005747",25306
"33","D300038:bin_000002@contig_00006150",10433
"34","D300038:bin_000002@contig_00006530",64969
"35","D300038:bin_000002@contig_00006607",1696
"36","D300038:bin_000002@contig_00007176",37827
"37","D300038:bin_000002@contig_00007404",4812
"38","D300038:bin_000002@contig_00008617",1667
"39","D300038:bin_000002@contig_00009417",39179
"40","D300038:bin_000002@contig_00009554",7238
"41","D300038:bin_000002@contig_00010329",160175
"42","D300038:bin_000002@contig_00011383",8462
"43","D300038:bin_000002@contig_00011415",23540
"44","D300038:bin_000002@contig_00011444",9116
"45","D300038:bin_000002@contig_00011531",1822
"46","D300038:bin_000002@contig_00011572",12341
"47","D300038:bin_000002@contig_00011725",7587
"48","D300038:bin_000002@contig_00012047",26741
"49","D300038:bin_000002@contig_00012066",5866
"50","D300038:bin_000002@contig_00012071",13292
"51","D300038:bin_000002@contig_00012189",38827
"52","D300038:bin_000002@contig_00012247",9231
"53","D300038:bin_000002@contig_00012324",5140
"54","D300038:bin_000002@contig_00012374",10637
"55","D300038:bin_000002@contig_00012689",10055
"56","D300038:bin_000002@contig_00012759",25356
"57","D300038:bin_000002@contig_00012848",16884
"58","D300038:bin_000002@contig_00012954",4961
"59","D300038:bin_000002@contig_00012991",3734
"60","D300038:bin_000002@contig_00013146",50022
"61","D300038:bin_000002@contig_00013469",22848
"62","D300038:bin_000002@contig_00013947",44758
"63","D300038:bin_000002@contig_00014042",21357
"64","D300038:bin_000002@contig_00014136",9671
"65","D300038:bin_000002@contig_00014352",1883
"66","D300038:bin_000002@contig_00014559",14345
"67","D300038:bin_000002@contig_00014842",3031
"68","D300038:bin_000002@contig_00015352",16519
"69","D300038:bin_000002@contig_00015728",10813
"70","D300038:bin_000002@contig_00015830",13371
"71","D300038:bin_000002@contig_00016064",35436
"72","D300038:bin_000002@contig_00016594",2364
"73","D300038:bin_000002@contig_00016795",3102
"74","D300038:bin_000002@contig_00017070",12214
