"","MAG","taxonomy","domain","phylum","class","order","family","genus","species","lowest","ani","reference","old_MAG"
"1","MAG001","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Succinivibrionaceae;g__Succinivibrio;s__Succinivibrio sp022779845","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Succinivibrionaceae","Succinivibrio","Succinivibrio sp022779845","s__Succinivibrio sp022779845",99.33,"GCA_022779845.1","D300038:bin_000002"
"2","MAG002","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella",NA,"g__Sutterella",NA,NA,"D300038:bin_000004"
"3","MAG003","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900554145","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp900554145","s__Gemmiger sp900554145",97.89,"GCF_024462815.1","D300038:bin_000006"
"4","MAG004","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552865","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552865","s__Alloprevotella sp004552865",97.43,"GCF_021531665.1","D300038:bin_000008"
"5","MAG005","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp000434975","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp000434975","s__Prevotella sp000434975",96.7,"GCF_019052365.1","D300038:bin_000012"
"6","MAG006","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CALZFJ01","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CALZFJ01",NA,"g__CALZFJ01 (1)",NA,NA,"D300038:bin_000014"
"7","MAG007","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii","Bacteria","Bacillota","Negativicutes","Veillonellales","Megasphaeraceae","Megasphaera","Megasphaera elsdenii","s__Megasphaera elsdenii",97.97,"GCF_003010495.1","D300038:bin_000017"
"8","MAG008","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__VSOB01;s__VSOB01 sp022779165","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","VSOB01","VSOB01 sp022779165","s__VSOB01 sp022779165",98.88,"GCA_022779165.1","D300038:bin_000025"
"9","MAG009","d__Bacteria;p__Bacillota;c__Bacilli;o__RFN20;f__CAG-826;g__Enteromonas","Bacteria","Bacillota","Bacilli","RFN20","CAG-826","Enteromonas",NA,"g__Enteromonas (1)",NA,NA,"D300038:bin_000030"
"10","MAG010","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022764085","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp022764085","s__Prevotella sp022764085",97.79,"GCA_022764085.1","D300038:bin_000034"
"11","MAG011","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Ornithospirochaeta;s__Ornithospirochaeta sp022785155","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta","Ornithospirochaeta sp022785155","s__Ornithospirochaeta sp022785155",97.95,"GCA_022785155.1","D300038:bin_000037"
"12","MAG012","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium",NA,"g__Ruminiclostridium_E (1)",NA,NA,"D300040:bin_000005"
"13","MAG013","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp004555955","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Limisoma","Limisoma sp004555955","s__Limisoma sp004555955",97.97,"GCA_004555955.1","D300040:bin_000007"
"14","MAG014","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Sodaliphilus","Sodaliphilus sp004557565","s__Sodaliphilus sp004557565",98.1,"GCA_004557565.1","D300040:bin_000008"
"15","MAG015","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CALZFJ01;s__CALZFJ01 sp945645715","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CALZFJ01","CALZFJ01 sp945645715","s__CALZFJ01 sp945645715",97.88,"GCA_945645715.1","D300040:bin_000012"
"16","MAG016","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus amylovorus","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylovorus","s__Lactobacillus amylovorus",97.15,"GCF_002706375.1","D300040:bin_000013"
